dataset_index,session_role,cohort,target_valid
0,formal,MAIN180,True
1,formal,MAIN180,True
2,formal,MAIN180,True
3,formal,MAIN180,True
4,formal,MAIN180,True
5,formal,MAIN180,True
6,formal,MAIN180,True
7,formal,MAIN180,True
8,formal,MAIN180,True
9,formal,MAIN180,True
10,formal,MAIN180,True
11,formal,MAIN180,True
12,formal,MAIN180,True
13,formal,MAIN180,True
14,formal,MAIN180,True
15,formal,MAIN180,True
16,formal,MAIN180,True
17,formal,MAIN180,True
18,formal,MAIN180,True
19,formal,MAIN180,True
20,formal,MAIN180,True
21,formal,MAIN180,True
22,formal,MAIN180,True
23,formal,MAIN180,True
24,formal,MAIN180,True
25,formal,MAIN180,True
26,formal,MAIN180,True
27,formal,MAIN180,True
28,formal,MAIN180,True
29,formal,MAIN180,True
30,formal,MAIN180,True
31,formal,MAIN180,True
32,formal,MAIN180,True
33,formal,MAIN180,True
34,formal,MAIN180,True
35,formal,MAIN180,True
36,formal,MAIN180,True
37,formal,MAIN180,True
38,formal,MAIN180,True
39,formal,MAIN180,True
40,formal,MAIN180,True
41,formal,MAIN180,True
42,formal,MAIN180,True
43,formal,MAIN180,True
44,formal,MAIN180,True
45,formal,MAIN180,True
46,formal,MAIN180,True
47,formal,MAIN180,True
48,formal,MAIN180,True
49,formal,MAIN180,True
50,formal,MAIN180,True
51,formal,MAIN180,True
52,formal,MAIN180,True
53,formal,MAIN180,True
54,formal,MAIN180,True
55,formal,MAIN180,True
56,formal,MAIN180,True
57,formal,MAIN180,True
58,formal,MAIN180,True
59,formal,MAIN180,True
60,formal,MAIN180,True
61,formal,MAIN180,True
62,formal,MAIN180,True
63,formal,MAIN180,True
64,formal,MAIN180,True
65,formal,MAIN180,True
66,formal,MAIN180,True
67,formal,MAIN180,True
68,formal,MAIN180,True
69,formal,MAIN180,True
70,formal,MAIN180,True
71,formal,MAIN180,True
72,formal,MAIN180,True
73,formal,MAIN180,True
74,formal,MAIN180,True
75,formal,MAIN180,True
76,formal,MAIN180,True
77,formal,MAIN180,True
78,formal,MAIN180,True
79,formal,MAIN180,True
80,formal,MAIN180,True
