dataset_index,session_id,sample_id,shared_height_source_id,session_role
0,zro2_120_formal,1,zro2_120_formal:m001,formal
1,zro2_120_formal,2,zro2_120_formal:m002,formal
2,zro2_120_formal,3,zro2_120_formal:m003,formal
3,zro2_120_formal,4,zro2_120_formal:m004,formal
4,zro2_120_formal,5,zro2_120_formal:m005,formal
5,zro2_120_formal,6,zro2_120_formal:m006,formal
6,zro2_120_formal,7,zro2_120_formal:m007,formal
7,zro2_120_formal,8,zro2_120_formal:m008,formal
8,zro2_120_formal,9,zro2_120_formal:m009,formal
9,zro2_120_formal,10,zro2_120_formal:m010,formal
10,zro2_120_formal,11,zro2_120_formal:m011,formal
11,zro2_120_formal,12,zro2_120_formal:m012,formal
12,zro2_120_formal,13,zro2_120_formal:m013,formal
13,zro2_120_formal,14,zro2_120_formal:m014,formal
14,zro2_120_formal,15,zro2_120_formal:m015,formal
15,zro2_120_formal,16,zro2_120_formal:m016,formal
16,zro2_120_formal,17,zro2_120_formal:m017,formal
17,zro2_120_formal,18,zro2_120_formal:m018,formal
18,zro2_120_formal,19,zro2_120_formal:m019,formal
19,zro2_120_formal,20,zro2_120_formal:m020,formal
20,zro2_120_formal,21,zro2_120_formal:m021,formal
21,zro2_120_formal,22,zro2_120_formal:m022,formal
22,zro2_120_formal,23,zro2_120_formal:m023,formal
23,zro2_120_formal,24,zro2_120_formal:m024,formal
24,zro2_120_formal,25,zro2_120_formal:m025,formal
25,zro2_120_formal,26,zro2_120_formal:m026,formal
26,zro2_120_formal,27,zro2_120_formal:m027,formal
27,zro2_120_formal,28,zro2_120_formal:m028,formal
28,zro2_120_formal,29,zro2_120_formal:m029,formal
29,zro2_120_formal,30,zro2_120_formal:m030,formal
30,zro2_120_formal,31,zro2_120_formal:m031,formal
31,zro2_120_formal,32,zro2_120_formal:m032,formal
32,zro2_120_formal,33,zro2_120_formal:m033,formal
33,zro2_120_formal,34,zro2_120_formal:m034,formal
34,zro2_120_formal,35,zro2_120_formal:m035,formal
35,zro2_120_formal,36,zro2_120_formal:m036,formal
36,zro2_120_formal,37,zro2_120_formal:m037,formal
37,zro2_120_formal,38,zro2_120_formal:m038,formal
38,zro2_120_formal,39,zro2_120_formal:m039,formal
39,zro2_120_formal,40,zro2_120_formal:m040,formal
40,zro2_120_formal,41,zro2_120_formal:m041,formal
41,zro2_120_formal,42,zro2_120_formal:m042,formal
42,zro2_120_formal,43,zro2_120_formal:m043,formal
43,zro2_120_formal,44,zro2_120_formal:m044,formal
44,zro2_120_formal,45,zro2_120_formal:m045,formal
45,zro2_120_formal,46,zro2_120_formal:m046,formal
46,zro2_120_formal,47,zro2_120_formal:m047,formal
47,zro2_120_formal,48,zro2_120_formal:m048,formal
48,zro2_120_formal,49,zro2_120_formal:m049,formal
49,zro2_120_formal,50,zro2_120_formal:m050,formal
50,zro2_120_formal,51,zro2_120_formal:m051,formal
51,zro2_120_formal,52,zro2_120_formal:m052,formal
52,zro2_120_formal,53,zro2_120_formal:m053,formal
53,zro2_120_formal,54,zro2_120_formal:m054,formal
54,zro2_120_formal,55,zro2_120_formal:m055,formal
55,zro2_120_formal,56,zro2_120_formal:m056,formal
56,zro2_120_formal,57,zro2_120_formal:m057,formal
57,zro2_120_formal,58,zro2_120_formal:m058,formal
58,zro2_120_formal,59,zro2_120_formal:m059,formal
59,zro2_120_formal,60,zro2_120_formal:m060,formal
60,zro2_120_formal,61,zro2_120_formal:m061,formal
61,zro2_120_formal,62,zro2_120_formal:m062,formal
62,zro2_120_formal,63,zro2_120_formal:m063,formal
63,zro2_120_formal,64,zro2_120_formal:m064,formal
64,zro2_120_formal,65,zro2_120_formal:m065,formal
65,zro2_120_formal,66,zro2_120_formal:m066,formal
66,zro2_120_formal,67,zro2_120_formal:m067,formal
67,zro2_120_formal,68,zro2_120_formal:m068,formal
68,zro2_120_formal,69,zro2_120_formal:m069,formal
69,zro2_120_formal,70,zro2_120_formal:m070,formal
70,zro2_120_formal,71,zro2_120_formal:m071,formal
71,zro2_120_formal,72,zro2_120_formal:m072,formal
72,zro2_120_formal,73,zro2_120_formal:m073,formal
73,zro2_120_formal,74,zro2_120_formal:m074,formal
74,zro2_120_formal,75,zro2_120_formal:m075,formal
75,zro2_120_formal,76,zro2_120_formal:m076,formal
76,zro2_120_formal,77,zro2_120_formal:m077,formal
77,zro2_120_formal,78,zro2_120_formal:m078,formal
78,zro2_120_formal,79,zro2_120_formal:m079,formal
79,zro2_120_formal,80,zro2_120_formal:m080,formal
80,zro2_120_formal,81,zro2_120_formal:m081,formal
81,zro2_120_formal,82,zro2_120_formal:m082,formal
82,zro2_120_formal,83,zro2_120_formal:m083,formal
83,zro2_120_formal,84,zro2_120_formal:m084,formal
84,zro2_120_formal,85,zro2_120_formal:m085,formal
85,zro2_120_formal,86,zro2_120_formal:m086,formal
86,zro2_120_formal,87,zro2_120_formal:m087,formal
87,zro2_120_formal,88,zro2_120_formal:m088,formal
88,zro2_120_formal,89,zro2_120_formal:m089,formal
89,zro2_120_formal,90,zro2_120_formal:m090,formal
90,zro2_120_formal,91,zro2_120_formal:m091,formal
91,zro2_120_formal,92,zro2_120_formal:m092,formal
92,zro2_120_formal,93,zro2_120_formal:m093,formal
93,zro2_120_formal,94,zro2_120_formal:m094,formal
94,zro2_120_formal,95,zro2_120_formal:m095,formal
95,zro2_120_formal,96,zro2_120_formal:m096,formal
96,zro2_120_formal,97,zro2_120_formal:m097,formal
97,zro2_120_formal,98,zro2_120_formal:m098,formal
98,zro2_120_formal,99,zro2_120_formal:m099,formal
99,zro2_120_formal,100,zro2_120_formal:m100,formal
100,zro2_120_formal,101,zro2_120_formal:m101,formal
101,zro2_120_formal,102,zro2_120_formal:m102,formal
102,zro2_120_formal,103,zro2_120_formal:m103,formal
103,zro2_120_formal,104,zro2_120_formal:m104,formal
104,zro2_120_formal,105,zro2_120_formal:m105,formal
105,zro2_120_formal,106,zro2_120_formal:m106,formal
106,zro2_120_formal,107,zro2_120_formal:m107,formal
107,zro2_120_formal,108,zro2_120_formal:m108,formal
108,zro2_120_formal,109,zro2_120_formal:m109,formal
109,zro2_120_formal,110,zro2_120_formal:m110,formal
110,zro2_120_formal,111,zro2_120_formal:m111,formal
111,zro2_120_formal,112,zro2_120_formal:m112,formal
112,zro2_120_formal,113,zro2_120_formal:m113,formal
113,zro2_120_formal,114,zro2_120_formal:m114,formal
114,zro2_120_formal,115,zro2_120_formal:m115,formal
115,zro2_120_formal,116,zro2_120_formal:m116,formal
116,zro2_120_formal,117,zro2_120_formal:m117,formal
117,zro2_120_formal,118,zro2_120_formal:m118,formal
118,zro2_120_formal,119,zro2_120_formal:m119,formal
119,zro2_120_formal,120,zro2_120_formal:m120,formal
120,zro2_20_supplement,1,zro2_20_supplement:m001,pass_supplement
121,zro2_20_supplement,2,zro2_20_supplement:m001,pass_supplement
