dataset_index,target,observed_canonical,frozen_target,abs_error,passed
0,D,13.506645679473877,13.506645679473875,1.7763568394002505e-15,True
1,D,8.637125968933105,8.637125968933105,0.0,True
2,D,3.8969749212265015,3.8969749212265015,0.0,True
3,D,2.1620235443115234,2.1620235443115234,0.0,True
4,D,4.774026870727539,4.774026870727539,0.0,True
5,D,0.7911836206912994,0.7911836206912994,0.0,True
6,D,6.117770195007324,6.117770195007324,0.0,True
7,D,2.632662534713745,2.632662534713745,0.0,True
8,D,57.03376770019531,57.03376770019531,0.0,True
9,D,3.669000267982483,3.669000267982483,0.0,True
10,D,46.23984718322754,46.23984718322754,0.0,True
11,D,17.736404418945312,17.736404418945312,0.0,True
12,D,30.701452255249023,30.701452255249023,0.0,True
13,D,7.083702087402344,7.083702087402344,0.0,True
14,D,6.098482370376587,6.098482370376587,0.0,True
15,D,46.040103912353516,46.04010391235352,7.105427357601002e-15,True
16,D,54.575416564941406,54.575416564941406,0.0,True
17,D,5.391144275665283,5.391144275665283,0.0,True
18,D,6.017935276031494,6.017935276031494,0.0,True
19,D,63.11563491821289,63.11563491821289,0.0,True
20,D,56.62374496459961,56.62374496459961,0.0,True
21,D,49.31291389465332,49.31291389465332,0.0,True
22,D,63.91909408569336,63.91909408569336,0.0,True
23,D,65.08415985107422,65.08415985107422,0.0,True
24,D,16.00606060028076,16.00606060028076,0.0,True
25,D,0.17148056626319885,0.1714805662631988,5.551115123125783e-17,True
26,D,48.2729434967041,48.2729434967041,0.0,True
27,D,9.989048480987549,9.989048480987549,0.0,True
28,D,39.56353569030762,39.56353569030762,0.0,True
29,D,17.576498985290527,17.576498985290527,0.0,True
30,D,10.066497802734375,10.066497802734377,1.7763568394002505e-15,True
31,D,48.365509033203125,48.365509033203125,0.0,True
32,D,57.54034423828125,57.54034423828125,0.0,True
33,D,55.18541145324707,55.18541145324707,0.0,True
34,D,8.413393497467041,8.413393497467041,0.0,True
35,D,54.87403869628906,54.87403869628906,0.0,True
36,D,34.34164047241211,34.34164047241211,0.0,True
37,D,53.70109558105469,53.70109558105469,0.0,True
38,D,5.322521686553955,5.322521686553955,0.0,True
39,D,57.65474891662598,57.65474891662598,0.0,True
40,D,56.283456802368164,56.28345680236816,7.105427357601002e-15,True
41,D,39.722333908081055,39.722333908081055,0.0,True
42,D,48.960649490356445,48.960649490356445,0.0,True
43,D,52.191043853759766,52.191043853759766,0.0,True
44,D,49.597900390625,49.597900390625,0.0,True
45,D,52.31752395629883,52.31752395629883,0.0,True
46,D,45.29147720336914,45.29147720336914,0.0,True
47,D,51.06957817077637,51.06957817077637,0.0,True
48,D,1.8694689869880676,1.869468986988068,4.440892098500626e-16,True
49,D,1.8423005938529968,1.8423005938529968,0.0,True
50,D,1.7471812963485718,1.7471812963485718,0.0,True
51,D,32.744380950927734,32.744380950927734,0.0,True
52,D,29.101886749267578,29.101886749267575,3.552713678800501e-15,True
53,D,41.76206398010254,41.76206398010254,0.0,True
54,D,26.571630477905273,26.571630477905277,3.552713678800501e-15,True
55,D,41.64340782165527,41.64340782165527,0.0,True
56,D,44.87353515625,44.87353515625,0.0,True
57,D,43.48048782348633,43.48048782348633,0.0,True
58,D,53.0235481262207,53.0235481262207,0.0,True
59,D,1.302653431892395,1.302653431892395,0.0,True
60,D,46.7247428894043,46.7247428894043,0.0,True
61,D,60.34411811828613,60.34411811828613,0.0,True
62,D,58.803592681884766,58.803592681884766,0.0,True
63,D,35.81507682800293,35.81507682800293,0.0,True
64,D,34.532243728637695,34.532243728637695,0.0,True
65,D,37.99081039428711,37.99081039428711,0.0,True
66,D,58.75454521179199,58.75454521179199,0.0,True
67,D,62.577470779418945,62.57747077941895,7.105427357601002e-15,True
68,D,6.6173996925354,6.6173996925354,0.0,True
69,D,59.64018630981445,59.64018630981445,0.0,True
70,D,17.18430995941162,17.18430995941162,0.0,True
71,D,48.42877769470215,48.42877769470215,0.0,True
72,D,27.422245979309082,27.42224597930908,3.552713678800501e-15,True
73,D,16.860888481140137,16.860888481140137,0.0,True
74,D,1.1291950941085815,1.1291950941085815,0.0,True
75,D,11.11442756652832,11.11442756652832,0.0,True
76,D,29.09636402130127,29.09636402130127,0.0,True
77,D,4.457285404205322,4.457285404205322,0.0,True
78,D,6.503506898880005,6.503506898880005,0.0,True
79,D,49.69957160949707,49.69957160949707,0.0,True
80,D,50.59038543701172,50.59038543701172,0.0,True
81,D,37.25409126281738,37.25409126281738,0.0,True
82,D,45.0401725769043,45.0401725769043,0.0,True
83,D,47.20834732055664,47.20834732055664,0.0,True
84,D,19.04991912841797,19.04991912841797,0.0,True
85,D,4.834158897399902,4.834158897399902,0.0,True
86,D,38.130022048950195,38.1300220489502,7.105427357601002e-15,True
87,D,17.658838272094727,17.658838272094727,0.0,True
88,D,38.27968978881836,38.27968978881836,0.0,True
89,D,41.925357818603516,41.92535781860352,7.105427357601002e-15,True
90,D,47.333452224731445,47.333452224731445,0.0,True
91,D,25.771157264709473,25.771157264709476,3.552713678800501e-15,True
92,D,35.61216163635254,35.61216163635254,0.0,True
93,D,45.23748588562012,45.23748588562012,0.0,True
94,D,42.34056854248047,42.34056854248047,0.0,True
95,D,44.55615997314453,44.55615997314453,0.0,True
96,D,29.391660690307617,29.391660690307617,0.0,True
97,D,9.661888122558594,9.661888122558594,0.0,True
98,D,1.2563902139663696,1.2563902139663696,0.0,True
99,D,0.15511369705200195,0.1551136970520019,5.551115123125783e-17,True
100,D,3.7228530645370483,3.722853064537048,4.440892098500626e-16,True
101,D,1.019090175628662,1.019090175628662,0.0,True
102,D,2.336227536201477,2.336227536201477,0.0,True
103,D,38.725759506225586,38.72575950622559,7.105427357601002e-15,True
104,D,45.409467697143555,45.40946769714356,7.105427357601002e-15,True
105,D,12.883959293365479,12.88395929336548,1.7763568394002505e-15,True
106,D,4.333580017089844,4.333580017089844,0.0,True
107,D,15.745314598083496,15.745314598083496,0.0,True
108,D,2.5217500925064087,2.5217500925064087,0.0,True
109,D,41.71175575256348,41.71175575256348,0.0,True
110,D,37.64780616760254,37.64780616760254,0.0,True
111,D,19.06198024749756,19.06198024749756,0.0,True
112,D,37.46864891052246,37.46864891052246,0.0,True
113,D,46.77769660949707,46.77769660949707,0.0,True
