dataset_index,target_block,band_valid,band_energy,undefined_reason
0,ILR,False,0.0,ZERO_NON_DC_ENERGY
0,8_16,False,0.0,ZERO_DIRECTION_BAND_ENERGY
0,16_32,False,0.0,ZERO_DIRECTION_BAND_ENERGY
1,ILR,True,12800.0,
1,8_16,True,12799.964510048989,
1,16_32,True,0.006585852986909083,
2,ILR,True,12800.00000000001,
2,8_16,True,12799.964510048989,
2,16_32,True,0.006585852986909203,
3,ILR,True,25599.999999999996,
3,8_16,True,25599.929119575037,
3,16_32,True,0.01317258244244371,
4,ILR,True,25673.349324812043,
4,8_16,True,172.86789929936447,
4,16_32,True,77.48082805744326,
