model_id,variant,outer_fold,session_id,risk
GAM,C1,0,zro2_120_formal,1.8273168462916631
GAM,C1,0,zro2_60_pass,0.990294443963403
GAM,C1,1,zro2_120_formal,0.8192947561357612
GAM,C1,1,zro2_60_pass,1.5442484346031529
GAM,C1,2,zro2_120_formal,0.9168269271291585
GAM,C1,2,zro2_60_pass,0.4399384490581249
GAM,C1,3,zro2_120_formal,0.6491994660907016
GAM,C1,3,zro2_60_pass,0.7243210248240457
GAM,C1,4,zro2_120_formal,0.7102545665101873
GAM,C1,4,zro2_60_pass,1.1333223919907274
GAM,C2,0,zro2_120_formal,1.7096931863425295
GAM,C2,0,zro2_60_pass,0.7452314822000129
GAM,C2,1,zro2_120_formal,0.8289704404944493
GAM,C2,1,zro2_60_pass,1.2425281235756644
GAM,C2,2,zro2_120_formal,0.8688724511821924
GAM,C2,2,zro2_60_pass,0.3296642161724636
GAM,C2,3,zro2_120_formal,0.5001389491537538
GAM,C2,3,zro2_60_pass,0.5169919917349198
GAM,C2,4,zro2_120_formal,0.699049001278956
GAM,C2,4,zro2_60_pass,0.8653820114398331
GAM,C3,0,zro2_120_formal,1.5906699908145456
GAM,C3,0,zro2_60_pass,0.8350019164119323
GAM,C3,1,zro2_120_formal,0.7882828726221679
GAM,C3,1,zro2_60_pass,1.52017262183161
GAM,C3,2,zro2_120_formal,0.739504618281907
GAM,C3,2,zro2_60_pass,0.31226162593539303
GAM,C3,3,zro2_120_formal,0.42010621008910254
GAM,C3,3,zro2_60_pass,0.4925959493858332
GAM,C3,4,zro2_120_formal,0.609524146125584
GAM,C3,4,zro2_60_pass,0.915817920134976
GAM,C4,0,zro2_120_formal,1.7803479681442484
GAM,C4,0,zro2_60_pass,0.7106207075655006
GAM,C4,1,zro2_120_formal,0.8010687722700328
GAM,C4,1,zro2_60_pass,1.1967995003637872
GAM,C4,2,zro2_120_formal,0.7127335181077002
GAM,C4,2,zro2_60_pass,0.2872305434547748
GAM,C4,3,zro2_120_formal,0.43601499196714105
GAM,C4,3,zro2_60_pass,0.4555286945608293
GAM,C4,4,zro2_120_formal,0.6037291641836129
GAM,C4,4,zro2_60_pass,1.1433060019400996
GAM,M_D,0,zro2_120_formal,1.704105064402171
GAM,M_D,0,zro2_60_pass,1.021997409100438
GAM,M_D,1,zro2_120_formal,0.8805264793747697
GAM,M_D,1,zro2_60_pass,1.5020851168629175
GAM,M_D,2,zro2_120_formal,0.7474004032280163
GAM,M_D,2,zro2_60_pass,0.5390537472342418
GAM,M_D,3,zro2_120_formal,0.5513933584781372
GAM,M_D,3,zro2_60_pass,0.5855761359417766
GAM,M_D,4,zro2_120_formal,0.7455665848819181
GAM,M_D,4,zro2_60_pass,1.443984798215262
GAM,M_Dh,0,zro2_120_formal,1.4402560428608253
GAM,M_Dh,0,zro2_60_pass,0.6531100775362012
GAM,M_Dh,1,zro2_120_formal,0.7948688170297378
GAM,M_Dh,1,zro2_60_pass,1.2618968701003237
GAM,M_Dh,2,zro2_120_formal,0.6401661470334711
GAM,M_Dh,2,zro2_60_pass,0.28486438026758676
GAM,M_Dh,3,zro2_120_formal,0.3394960266726387
GAM,M_Dh,3,zro2_60_pass,0.43463838062907784
GAM,M_Dh,4,zro2_120_formal,0.6096969611688704
GAM,M_Dh,4,zro2_60_pass,0.8968015336007366
GAM,M_U,0,zro2_120_formal,1.7569389165810256
GAM,M_U,0,zro2_60_pass,0.6752667044266238
GAM,M_U,1,zro2_120_formal,0.8249995656943324
GAM,M_U,1,zro2_60_pass,1.1244806484498753
GAM,M_U,2,zro2_120_formal,0.7516836038286935
GAM,M_U,2,zro2_60_pass,0.3103406243614382
GAM,M_U,3,zro2_120_formal,0.43434835049772713
GAM,M_U,3,zro2_60_pass,0.41067525326079474
GAM,M_U,4,zro2_120_formal,0.6362128822890901
GAM,M_U,4,zro2_60_pass,0.6683213218916452
GAM,M_UD,0,zro2_120_formal,1.5934709298449428
GAM,M_UD,0,zro2_60_pass,0.7748673678510757
GAM,M_UD,1,zro2_120_formal,0.8071794629163783
GAM,M_UD,1,zro2_60_pass,1.1375908520356948
GAM,M_UD,2,zro2_120_formal,0.7177807883796767
GAM,M_UD,2,zro2_60_pass,0.31325631953528904
GAM,M_UD,3,zro2_120_formal,0.426318261969225
GAM,M_UD,3,zro2_60_pass,0.4321283483937859
GAM,M_UD,4,zro2_120_formal,0.6367551882101997
GAM,M_UD,4,zro2_60_pass,0.9198722199336459
GAM,M_UDhat,0,zro2_120_formal,1.5972086133654224
GAM,M_UDhat,0,zro2_60_pass,0.7865458883845947
GAM,M_UDhat,1,zro2_120_formal,0.8169864463281811
GAM,M_UDhat,1,zro2_60_pass,1.140040267200748
GAM,M_UDhat,2,zro2_120_formal,0.7134107907683681
GAM,M_UDhat,2,zro2_60_pass,0.3286223988891971
GAM,M_UDhat,3,zro2_120_formal,0.4454012464575348
