outer_fold,model_id,variant,alpha,inner_risk
0,Ridge,M_D,0.001,0.9099736860885135
0,Ridge,M_D,0.01,0.9099726557745423
0,Ridge,M_D,0.1,0.9099625112028228
0,Ridge,M_D,1.0,0.9098766080124133
0,Ridge,M_D,10.0,0.910300233292451
0,Ridge,M_D,100.0,0.9442809644749549
0,Ridge,M_D,1000.0,1.02760963319306
0,Ridge,M_Dh,0.001,0.7915447870284935
0,Ridge,M_Dh,0.01,0.7915421421811605
0,Ridge,M_Dh,0.1,0.7915159860755618
0,Ridge,M_Dh,1.0,0.7912830792462708
0,Ridge,M_Dh,10.0,0.791318967964578
0,Ridge,M_Dh,100.0,0.8489572156266447
0,Ridge,M_Dh,1000.0,1.003729940694255
0,Ridge,M_U,0.001,0.7697312894401424
0,Ridge,M_U,0.01,0.7697205525333944
0,Ridge,M_U,0.1,0.7696138767227255
0,Ridge,M_U,1.0,0.7686147573149102
0,Ridge,M_U,10.0,0.7639926762540108
0,Ridge,M_U,100.0,0.831726134461699
0,Ridge,M_U,1000.0,1.0026128793375795
0,Ridge,M_UD,0.001,0.7632635453089586
0,Ridge,M_UD,0.01,0.7632470884325752
0,Ridge,M_UD,0.1,0.7630844105649798
0,Ridge,M_UD,1.0,0.7616266531086016
0,Ridge,M_UD,10.0,0.7553832965321172
0,Ridge,M_UD,100.0,0.8037570823420048
0,Ridge,M_UD,1000.0,0.982887398429095
0,Ridge,M_UDhat,0.001,0.7770686838369648
0,Ridge,M_UDhat,0.01,0.7769530191766044
0,Ridge,M_UDhat,0.1,0.7759372850070986
0,Ridge,M_UDhat,1.0,0.7715615261560435
0,Ridge,M_UDhat,10.0,0.7658712898849438
0,Ridge,M_UDhat,100.0,0.8122818136303706
0,Ridge,M_UDhat,1000.0,0.9845794351199687
0,Ridge,C1,0.001,0.9741165913702496
0,Ridge,C1,0.01,0.9741152483436912
0,Ridge,C1,0.1,0.974101921201897
0,Ridge,C1,1.0,0.97397876485165
0,Ridge,C1,10.0,0.9735878734249429
0,Ridge,C1,100.0,0.9908950636214485
0,Ridge,C1,1000.0,1.0380881818601124
0,Ridge,C2,0.001,0.904470849075997
0,Ridge,C2,0.01,0.9044653790148165
0,Ridge,C2,0.1,0.9044111671974342
0,Ridge,C2,1.0,0.9039157227686507
0,Ridge,C2,10.0,0.9020933545871899
0,Ridge,C2,100.0,0.9279885740697792
0,Ridge,C2,1000.0,1.0163351251271846
0,Ridge,C3,0.001,0.786843494723664
0,Ridge,C3,0.01,0.7868401916498345
0,Ridge,C3,0.1,0.7868077390127262
0,Ridge,C3,1.0,0.786538180863422
0,Ridge,C3,10.0,0.7874351388335836
0,Ridge,C3,100.0,0.8428627074003703
0,Ridge,C3,1000.0,0.9960115249620968
0,Ridge,C4,0.001,0.7777214571903707
0,Ridge,C4,0.01,0.7776144336375672
0,Ridge,C4,0.1,0.7766392581301028
0,Ridge,C4,1.0,0.7722317853873408
0,Ridge,C4,10.0,0.7748190330092791
0,Ridge,C4,100.0,0.8190773967691856
0,Ridge,C4,1000.0,0.9797243442568052
0,GAM,M_D,0.001,0.9887679685478804
0,GAM,M_D,0.01,0.9859292520927602
0,GAM,M_D,0.1,0.971919730147969
0,GAM,M_D,1.0,0.950802243882515
0,GAM,M_D,10.0,0.950832223979585
0,GAM,M_D,100.0,1.018375000704115
0,GAM,M_D,1000.0,1.0480559501443738
0,GAM,M_Dh,0.001,0.822379327504601
0,GAM,M_Dh,0.01,0.8148732952209101
0,GAM,M_Dh,0.1,0.7871003356588746
0,GAM,M_Dh,1.0,0.7911705832714484
0,GAM,M_Dh,10.0,0.8511640297787533
0,GAM,M_Dh,100.0,0.9915102818498384
0,GAM,M_Dh,1000.0,1.0448098943236415
0,GAM,M_U,0.001,0.8914913940306298
0,GAM,M_U,0.01,0.8651051345989238
0,GAM,M_U,0.1,0.8098329998747672
0,GAM,M_U,1.0,0.8240991086657661
0,GAM,M_U,10.0,0.8460238391982339
0,GAM,M_U,100.0,0.9907443931995709
0,GAM,M_U,1000.0,1.0448776672751268
0,GAM,M_UD,0.001,0.9563540944294668
0,GAM,M_UD,0.01,0.9191128096329176
0,GAM,M_UD,0.1,0.8378939517342829
0,GAM,M_UD,1.0,0.8353078082256499
0,GAM,M_UD,10.0,0.8327780596227252
0,GAM,M_UD,100.0,0.9673498061143424
0,GAM,M_UD,1000.0,1.040776358379993
0,GAM,M_UDhat,0.001,0.9596025535563009
0,GAM,M_UDhat,0.01,0.925268908808207
0,GAM,M_UDhat,0.1,0.8456027576352574
0,GAM,M_UDhat,1.0,0.822172794076322
0,GAM,M_UDhat,10.0,0.8221346581505845
0,GAM,M_UDhat,100.0,0.9676673186929017
0,GAM,M_UDhat,1000.0,1.041188979202861
0,GAM,C1,0.001,0.9997971024216958
0,GAM,C1,0.01,0.9973716985939451
0,GAM,C1,0.1,0.9879629886167137
0,GAM,C1,1.0,0.9832607200273461
0,GAM,C1,10.0,0.9875287676424606
0,GAM,C1,100.0,1.0346319047935617
0,GAM,C1,1000.0,1.0502631911016422
0,GAM,C2,0.001,0.8960838168457803
0,GAM,C2,0.01,0.8887816758210795
0,GAM,C2,0.1,0.8679367160521048
0,GAM,C2,1.0,0.8811895822808306
0,GAM,C2,10.0,0.9145694633480634
0,GAM,C2,100.0,1.0096444768198438
0,GAM,C2,1000.0,1.047043332801487
0,GAM,C3,0.001,0.8511953189942248
0,GAM,C3,0.01,0.8422484221630757
0,GAM,C3,0.1,0.81223511856874
0,GAM,C3,1.0,0.8106523226184805
0,GAM,C3,10.0,0.8354136422150966
0,GAM,C3,100.0,0.9820219738879008
0,GAM,C3,1000.0,1.0435741508675234
0,GAM,C4,0.001,0.7982358971973443
0,GAM,C4,0.01,0.787740515426473
0,GAM,C4,0.1,0.7644593843726938
0,GAM,C4,1.0,0.7859347292381851
0,GAM,C4,10.0,0.8201401595402943
0,GAM,C4,100.0,0.963991504404847
0,GAM,C4,1000.0,1.0404462574352578
1,Ridge,M_D,0.001,0.885370414503051
1,Ridge,M_D,0.01,0.8853680565902838
1,Ridge,M_D,0.1,0.8853446895355969
1,Ridge,M_D,1.0,0.8851318162718177
1,Ridge,M_D,10.0,0.8847280127164567
1,Ridge,M_D,100.0,0.9231968702949692
1,Ridge,M_D,1000.0,1.0244508992631756
1,Ridge,M_Dh,0.001,0.7450253303538563
1,Ridge,M_Dh,0.01,0.7450225602969495
1,Ridge,M_Dh,0.1,0.7449951821165502
1,Ridge,M_Dh,1.0,0.7447530022596505
1,Ridge,M_Dh,10.0,0.7449442308098904
1,Ridge,M_Dh,100.0,0.8112367000290194
1,Ridge,M_Dh,1000.0,0.9953212065439307
1,Ridge,M_U,0.001,0.7474165654612436
1,Ridge,M_U,0.01,0.7474064857892966
1,Ridge,M_U,0.1,0.747306366782531
1,Ridge,M_U,1.0,0.7463713339999352
1,Ridge,M_U,10.0,0.7422971863584417
1,Ridge,M_U,100.0,0.8153793419996828
1,Ridge,M_U,1000.0,1.0006415818573158
1,Ridge,M_UD,0.001,0.7531427619848245
1,Ridge,M_UD,0.01,0.7531191671209765
1,Ridge,M_UD,0.1,0.7528860615795927
1,Ridge,M_UD,1.0,0.7508075103771311
1,Ridge,M_UD,10.0,0.7417883283161568
1,Ridge,M_UD,100.0,0.7863374760031472
1,Ridge,M_UD,1000.0,0.9767099103694094
1,Ridge,M_UDhat,0.001,0.7442639403010393
1,Ridge,M_UDhat,0.01,0.7442960129648274
1,Ridge,M_UDhat,0.1,0.7446045748216785
1,Ridge,M_UDhat,1.0,0.7460048415288987
1,Ridge,M_UDhat,10.0,0.7442181323245021
1,Ridge,M_UDhat,100.0,0.790378807331484
1,Ridge,M_UDhat,1000.0,0.9767784232708858
1,Ridge,C1,0.001,0.9647895382824931
1,Ridge,C1,0.01,0.9647875417124713
1,Ridge,C1,0.1,0.9647677040213374
1,Ridge,C1,1.0,0.9645818865558894
1,Ridge,C1,10.0,0.9637704342403575
1,Ridge,C1,100.0,0.982908188954897
1,Ridge,C1,1000.0,1.038063241849032
1,Ridge,C2,0.001,0.8899336728542219
1,Ridge,C2,0.01,0.8899234886440706
1,Ridge,C2,0.1,0.8898222942229844
1,Ridge,C2,1.0,0.8888725135006001
1,Ridge,C2,10.0,0.8837280528507768
1,Ridge,C2,100.0,0.9067959942033947
1,Ridge,C2,1000.0,1.0112692928452809
1,Ridge,C3,0.001,0.7646140672820719
1,Ridge,C3,0.01,0.7646051089237788
1,Ridge,C3,0.1,0.7645164188605907
1,Ridge,C3,1.0,0.7637147723317309
1,Ridge,C3,10.0,0.7614015090904088
1,Ridge,C3,100.0,0.8185900738022375
1,Ridge,C3,1000.0,0.9904525031099227
1,Ridge,C4,0.001,0.7484685710883664
1,Ridge,C4,0.01,0.748342986669434
1,Ridge,C4,0.1,0.7472018446952515
1,Ridge,C4,1.0,0.7421187110710864
1,Ridge,C4,10.0,0.7436994465874242
1,Ridge,C4,100.0,0.7922110787118882
1,Ridge,C4,1000.0,0.9736170981616472
1,GAM,M_D,0.001,0.9160565934941598
1,GAM,M_D,0.01,0.9132874506798571
1,GAM,M_D,0.1,0.9018508150046184
1,GAM,M_D,1.0,0.8958878176266116
1,GAM,M_D,10.0,0.9191466742373434
1,GAM,M_D,100.0,1.011383913973606
1,GAM,M_D,1000.0,1.0494234806647298
1,GAM,M_Dh,0.001,0.7530279895718098
1,GAM,M_Dh,0.01,0.7471419311463892
1,GAM,M_Dh,0.1,0.7244415862816735
1,GAM,M_Dh,1.0,0.7348986958639252
1,GAM,M_Dh,10.0,0.8070008901825113
1,GAM,M_Dh,100.0,0.9771006141241663
1,GAM,M_Dh,1000.0,1.0451149882907536
1,GAM,M_U,0.001,0.9788149467822695
1,GAM,M_U,0.01,0.9496118413843166
1,GAM,M_U,0.1,0.879416419978673
1,GAM,M_U,1.0,0.8204130624452562
1,GAM,M_U,10.0,0.8135378662339597
1,GAM,M_U,100.0,0.9794974324952415
1,GAM,M_U,1000.0,1.0456203216250066
1,GAM,M_UD,0.001,0.9423081230810282
1,GAM,M_UD,0.01,0.9115366596211789
1,GAM,M_UD,0.1,0.8488585855344682
1,GAM,M_UD,1.0,0.8049606986822491
1,GAM,M_UD,10.0,0.7932058455061964
1,GAM,M_UD,100.0,0.9506675179446901
1,GAM,M_UD,1000.0,1.0404410970120677
1,GAM,M_UDhat,0.001,0.9842523970865473
1,GAM,M_UDhat,0.01,0.9518072831777468
1,GAM,M_UDhat,0.1,0.873232753656589
1,GAM,M_UDhat,1.0,0.8053981200636446
1,GAM,M_UDhat,10.0,0.7884604508774691
1,GAM,M_UDhat,100.0,0.9502120200531979
1,GAM,M_UDhat,1000.0,1.0406990137202805
1,GAM,C1,0.001,0.9885233792046095
1,GAM,C1,0.01,0.9871551271133926
1,GAM,C1,0.1,0.9786947658837541
1,GAM,C1,1.0,0.9633571537495076
1,GAM,C1,10.0,0.9685025029343926
1,GAM,C1,100.0,1.0309819265825344
1,GAM,C1,1000.0,1.052043850419258
1,GAM,C2,0.001,0.8951653865051211
1,GAM,C2,0.01,0.8906136856742215
1,GAM,C2,0.1,0.8685316098256979
1,GAM,C2,1.0,0.8584308213388878
1,GAM,C2,10.0,0.8867602192239962
1,GAM,C2,100.0,0.9987726231650931
1,GAM,C2,1000.0,1.0477639310039004
1,GAM,C3,0.001,0.780852837884708
1,GAM,C3,0.01,0.776944527627151
1,GAM,C3,0.1,0.7604122841716409
1,GAM,C3,1.0,0.7626861220439805
1,GAM,C3,10.0,0.7973058963857849
1,GAM,C3,100.0,0.9669602920702686
1,GAM,C3,1000.0,1.043705819244625
1,GAM,C4,0.001,0.8161404565066691
1,GAM,C4,0.01,0.8042169848603691
1,GAM,C4,0.1,0.7679652224637109
1,GAM,C4,1.0,0.7615813261325617
1,GAM,C4,10.0,0.7837286263901998
1,GAM,C4,100.0,0.9448665816462816
1,GAM,C4,1000.0,1.0398145837906227
2,Ridge,M_D,0.001,1.0225170139244497
2,Ridge,M_D,0.01,1.022517551974199
2,Ridge,M_D,0.1,1.0225230644046779
2,Ridge,M_D,1.0,1.0225911058582817
2,Ridge,M_D,10.0,1.0243252433288552
2,Ridge,M_D,100.0,1.0625336351172727
2,Ridge,M_D,1000.0,1.146377237143574
2,Ridge,M_Dh,0.001,0.8998770225675576
2,Ridge,M_Dh,0.01,0.8998718666003612
2,Ridge,M_Dh,0.1,0.8998206467007712
2,Ridge,M_Dh,1.0,0.8993417617105691
2,Ridge,M_Dh,10.0,0.8973162219087273
2,Ridge,M_Dh,100.0,0.94978215773497
2,Ridge,M_Dh,1000.0,1.1155875820872694
2,Ridge,M_U,0.001,0.9002673231277061
2,Ridge,M_U,0.01,0.9002506134987743
