peak_ratio,n_pulses,depth_m,reference_m,relative_error,passed
0.5,1,0.0,0.0,0.0,True
0.5,2,0.0,0.0,0.0,True
0.5,10,0.0,0.0,0.0,True
0.5,100,0.0,0.0,0.0,True
1.0,1,0.0,0.0,0.0,True
1.0,2,0.0,0.0,0.0,True
1.0,10,0.0,0.0,0.0,True
1.0,100,0.0,0.0,0.0,True
2.0,1,6.931471805599453e-10,6.931471805599453e-10,0.0,True
2.0,2,1.3862943611198906e-09,1.3862943611198906e-09,0.0,True
2.0,10,6.931471805599452e-09,6.931471805599453e-09,1.193369367649748e-16,True
2.0,100,6.931471805599445e-08,6.931471805599453e-08,1.1456345929437581e-15,True
10.0,1,2.3025850929940454e-09,2.3025850929940462e-09,3.5923997556913154e-16,True
10.0,2,4.605170185988091e-09,4.6051701859880925e-09,3.5923997556913154e-16,True
10.0,10,2.3025850929940452e-08,2.302585092994046e-08,2.873919804553053e-16,True
10.0,100,2.302585092994047e-07,2.3025850929940462e-07,3.448703765463663e-16,True
