point,direction,step,fd_value
0,log_tau_s,0.01,4.1130658044671885e-09
0,log_f_Hz,0.01,2.7391059712954526e-08
0,log_v_m_s,0.01,-5.818465089566229e-08
0,log_h_m,0.01,-4.1462219989550666e-08
0,log_tau_s,0.001,4.113017325315326e-09
0,log_f_Hz,0.001,2.7234664155800267e-08
0,log_v_m_s,0.001,-5.803107814027124e-08
0,log_h_m,0.001,-4.1526144923706704e-08
0,log_tau_s,0.0001,4.1130691026725336e-09
0,log_f_Hz,0.0001,2.7246708730515894e-08
0,log_v_m_s,0.0001,-5.804534993060946e-08
0,log_h_m,0.0001,-4.152129351506538e-08
0,log_tau_s,1e-05,4.113093048492476e-09
0,log_f_Hz,1e-05,2.724053356797169e-08
0,log_v_m_s,1e-05,-5.803871642808193e-08
0,log_h_m,1e-05,-4.1532343545781283e-08
0,log_tau_s,1e-06,4.113093061065621e-09
0,log_f_Hz,1e-06,2.724129960802558e-08
0,log_v_m_s,1e-06,-5.8039302175187766e-08
0,log_h_m,1e-06,-4.152874736350984e-08
1,log_tau_s,0.01,3.875401342864748e-09
1,log_f_Hz,0.01,1.9945665394689707e-08
1,log_v_m_s,0.01,-3.467977722572041e-08
1,log_h_m,0.01,-2.879853091937346e-08
1,log_tau_s,0.001,3.875414286230955e-09
1,log_f_Hz,0.001,2.0012617677958337e-08
1,log_v_m_s,0.001,-3.475511081115763e-08
1,log_h_m,0.001,-2.8753243826391814e-08
1,log_tau_s,0.0001,3.875414291981514e-09
1,log_f_Hz,0.0001,2.0032973612260282e-08
1,log_v_m_s,0.0001,-3.477790623749139e-08
1,log_h_m,0.0001,-2.877396596887032e-08
1,log_tau_s,1e-05,3.875414291253595e-09
1,log_f_Hz,1e-05,2.0024021472315542e-08
1,log_v_m_s,1e-05,-3.476879922094714e-08
1,log_h_m,1e-05,-2.8776061549822346e-08
1,log_tau_s,1e-06,3.875414292577084e-09
1,log_f_Hz,1e-06,2.002402144386053e-08
1,log_v_m_s,1e-06,-3.476879917528677e-08
1,log_h_m,1e-06,-2.8776061501515e-08
2,log_tau_s,0.01,6.722144660156666e-09
2,log_f_Hz,0.01,3.899274083736078e-08
2,log_v_m_s,0.01,-7.77065320522606e-08
2,log_h_m,0.01,-3.4044282807832554e-08
2,log_tau_s,0.001,6.72230431002506e-09
2,log_f_Hz,0.001,3.93194788716487e-08
2,log_v_m_s,0.001,-7.805975443394033e-08
2,log_h_m,0.001,-3.440487913075315e-08
2,log_tau_s,0.0001,6.7222583457689424e-09
2,log_f_Hz,0.0001,3.9325788430025435e-08
2,log_v_m_s,0.0001,-7.80623267958682e-08
2,log_h_m,0.0001,-3.438815216514458e-08
2,log_tau_s,1e-05,6.722248380955713e-09
2,log_f_Hz,1e-05,3.9316978972251264e-08
2,log_v_m_s,1e-05,-7.805311583309503e-08
2,log_h_m,1e-05,-3.438869754080726e-08
2,log_tau_s,1e-06,6.722248406102004e-09
2,log_f_Hz,1e-06,3.9318091598996575e-08
2,log_v_m_s,1e-06,-7.805414368772419e-08
2,log_h_m,1e-06,-3.439071041534474e-08
3,log_tau_s,0.01,1.2487305077721181e-09
3,log_f_Hz,0.01,4.752581042754059e-09
3,log_v_m_s,0.01,-1.015724437999389e-08
3,log_h_m,0.01,-7.707286373270912e-09
3,log_tau_s,0.001,1.2487182255427546e-09
3,log_f_Hz,0.001,4.774633965928534e-09
3,log_v_m_s,0.001,-1.0184799541838659e-08
3,log_h_m,0.001,-7.768696310076187e-09
3,log_tau_s,0.0001,1.2486996869181042e-09
3,log_f_Hz,0.0001,4.785201820773484e-09
3,log_v_m_s,0.0001,-1.0196722915910192e-08
3,log_h_m,0.0001,-7.773856480752324e-09
3,log_tau_s,1e-05,1.2486996870339095e-09
3,log_f_Hz,1e-05,4.782983207723384e-09
3,log_v_m_s,1e-05,-1.0194504435622578e-08
3,log_h_m,1e-05,-7.774718411255498e-09
3,log_tau_s,1e-06,1.2486996915006848e-09
3,log_f_Hz,1e-06,4.7819712592810965e-09
3,log_v_m_s,1e-06,-1.0193576229456582e-08
3,log_h_m,1e-06,-7.774718401660202e-09
4,log_tau_s,0.01,1.4276725626291805e-09
4,log_f_Hz,0.01,6.905687482949657e-09
4,log_v_m_s,0.01,-1.241500970047739e-08
4,log_h_m,0.01,-1.2115199558405035e-08
4,log_tau_s,0.001,1.427653131680301e-09
4,log_f_Hz,0.001,6.873591617537693e-09
4,log_v_m_s,0.001,-1.2380127603113763e-08
4,log_h_m,0.001,-1.2054799444132617e-08
4,log_tau_s,0.0001,1.427653133878947e-09
4,log_f_Hz,0.0001,6.888174215829472e-09
4,log_v_m_s,0.0001,-1.2395334798670112e-08
4,log_h_m,0.0001,-1.2054328353947628e-08
4,log_tau_s,1e-05,1.4276531335480746e-09
4,log_f_Hz,1e-05,6.8886294957739225e-09
4,log_v_m_s,1e-05,-1.2395933334914651e-08
4,log_h_m,1e-05,-1.2057881103115784e-08
4,log_tau_s,1e-06,1.427653136360489e-09
4,log_f_Hz,1e-06,6.888629483200778e-09
