point,log_log_tau_s,log_log_f_Hz,log_log_v_m_s,log_log_h_m,tau_fs,f_kHz,v_mm_s,h_um,ep_J,n_x,n_y,total_pulses,J_nominal_m,J_terminal_mean_m
0,-26.251373660527175,10.587101717741078,-4.195271961752419,-12.47767776932405,3973.5005443825544,39.62049119154055,15.066644353848465,3.810775793074014,0.00013460963858869885,53,5,265,1.1811597199330623e-07,1.1811597199330623e-07
1,-27.78403577411581,8.606745088628633,-5.58302510461856,-12.228022677661349,858.1171432774254,5.468420454975599,3.7611703578844353,4.89144558426102,0.0009752907706918082,29,4,116,7.561343454382332e-08,7.561343454382332e-08
2,-27.01611807079151,9.985268543033339,-5.207705258058401,-12.292559034188756,1849.4772750495226,21.704362214449407,5.474221210480492,4.585740161573727,0.0002457247970386996,79,4,316,1.6403425100214562e-07,1.6403425100214562e-07
3,-26.96328034657184,8.908034341657096,-4.018723215318953,-12.512117064465118,1949.827231377096,7.391118396432786,17.975901649621125,3.681769553366035,0.0007215822713074165,8,5,40,2.601591128509169e-08,2.601591128509169e-08
4,-28.555663162293193,8.949882285397077,-4.649735153241622,-11.848210059311329,396.6733843449597,7.7069845830796995,9.564134625192894,7.151345341474869,0.0006920086504012211,16,3,48,2.8044686009924443e-08,2.8044686009924443e-08
5,-26.395234214685857,9.935486055793643,-3.9353795836285665,-11.789542165549797,3441.085249860508,20.65031919786916,19.538281507931647,7.58345114653116,0.0002582671942693422,21,3,63,3.201946382323315e-08,3.201946382323315e-08
6,-26.16454549154563,7.768546575830294,-5.202088369632978,-12.570098588570005,4333.9337824846225,2.3650313953569615,5.505055816438674,3.4743658369340515,0.0022550652014473693,9,6,54,4.171047095754696e-08,4.171047095754696e-08
7,-26.944108355335405,7.747068999471491,-4.413689151686952,-11.818443142537518,1987.5699474113246,2.3147778469417846,12.110418646668744,7.367418809102087,0.0023040223955167866,4,3,12,9.427950083589522e-09,9.427950083589522e-09
8,-28.384865921314063,8.730943023071575,-4.915908905804272,-11.65657260211995,470.5538821908331,6.191564146850568,7.329053444978963,8.661933415911387,0.0008613816918480711,17,2,34,2.1641393805741015e-08,2.1641393805741015e-08
9,-27.03607667780281,8.113771576291253,-5.344046828034203,-12.526179174045376,1812.9302123612306,3.340151941126391,4.776501863886234,3.630358428075484,0.0015967237700574377,14,6,84,5.787561540983687e-08,5.787561540983687e-08
10,-27.14374854056193,10.983422346156319,-3.774716958575372,-13.042207546370916,1627.870266245501,58.889750908647294,22.943583707600972,2.1669117811435576,9.056414601368039e-05,51,9,459,1.7774928400363606e-07,1.7774928400363606e-07
11,-27.206620200434514,8.875123598565375,-4.149685909995506,-12.852844483846816,1528.6743401743968,7.151830368816094,15.76936870818027,2.6186687399533586,0.0007457251815220094,9,8,72,4.34076005690599e-08,4.34076005690599e-08
12,-28.75947407790802,10.31857195209054,-3.692270387979178,-12.052981886283785,323.5333879133008,30.289971166031524,24.91537022145247,5.827153738796506,0.00017607477969411184,24,3,72,3.215369765544153e-08,3.215369765544153e-08
13,-25.872983842792,8.499471973450039,-4.978809927716002,-12.882092320886064,5801.0403556822275,4.912174396892314,6.882248058527276,2.5431875547890694,0.001085730995905624,14,8,112,7.93825851476933e-08,7.93825851476933e-08
14,-26.7942674190162,7.79652701326045,-4.009127240103726,-11.876040205178539,2308.8595398132175,2.43214050112247,18.149228245149395,6.955066263454499,0.002192842065472205,3,3,9,7.305783982019594e-09,7.305783982019594e-09
15,-27.111460707562742,9.320953417043464,-5.536167483384156,-11.744424113847648,1681.2884069099734,11.169626090287384,3.9416041913040276,7.933437674070782,0.000477482411397603,57,3,171,9.354128859803553e-08,9.354128859803553e-08
16,-27.85861216082649,11.293875728384243,-3.8275466658019064,-12.283550489705206,796.4499054960752,80.32817646675012,21.762941959207563,4.627237641114743,6.639388860280662e-05,74,4,296,1.061802147730297e-07,1.061802147730297e-07
17,-27.304331220670573,9.76711486539999,-3.9045172943165882,-11.873925293483708,1386.3714901399378,17.450347917544647,20.150678991337738,6.9697911798938605,0.00030562714423807444,17,3,51,2.701585234696073e-08,2.701585234696073e-08
18,-27.847900511076944,10.495368832791844,-4.135918813785858,-12.170429991432602,805.0270536188036,36.1477083507984,15.987968413294276,5.181427339762598,0.0001475418565471026,45,4,180,7.609736157684739e-08,7.609736157684739e-08
