split,family_id,coupling,method,max_relative_error,passed
train,5c63d692d3161d614b5f758abfe3bb106c7dd66d9f52366485dac03d7a88a4d6,True,half_step,1.2982654870869197e-13,True
train,5c63d692d3161d614b5f758abfe3bb106c7dd66d9f52366485dac03d7a88a4d6,True,independent,1.0376360881973344e-12,True
train,5b7bc51925058626c83e12a720b0f40254af1641e83f00783ddf2eacffbdca18,True,half_step,1.217191282787115e-12,True
train,5b7bc51925058626c83e12a720b0f40254af1641e83f00783ddf2eacffbdca18,True,independent,2.0234394621612645e-12,True
train,ec43e7ebcd52a532cb035d548c8de90e6ee6f8282eb972c31b9bc35013310637,True,half_step,4.067627809122274e-12,True
train,ec43e7ebcd52a532cb035d548c8de90e6ee6f8282eb972c31b9bc35013310637,True,independent,3.930439882957011e-12,True
train,a87296536140b295597511f6bbf6249dfaef7f2629e45abec87f377e55ae23af,True,half_step,1.5904371688543972e-10,True
train,a87296536140b295597511f6bbf6249dfaef7f2629e45abec87f377e55ae23af,True,independent,1.6918648026035282e-10,True
train,db49ba837e6aa01eaaeba38b440b9d6b250fb29e16fbcc15891a76d418a032a4,True,half_step,2.1136283207038075e-10,True
train,db49ba837e6aa01eaaeba38b440b9d6b250fb29e16fbcc15891a76d418a032a4,True,independent,2.2466080874284911e-10,True
train,08507257288ec999aee54290ca1ead2d1aa2752e3cfc4fa8c6b052866b6d0e8a,True,half_step,4.627891752523636e-11,True
train,08507257288ec999aee54290ca1ead2d1aa2752e3cfc4fa8c6b052866b6d0e8a,True,independent,4.871148196757518e-11,True
train,1bba13caf9001d641af07b96266ef2a85a6694f120a273aebfed56685171f96b,True,half_step,1.1166006421301323e-10,True
train,1bba13caf9001d641af07b96266ef2a85a6694f120a273aebfed56685171f96b,True,independent,1.1860289189655786e-10,True
train,b425aac80f497b5ef939491434672e3b720431c2f78a68a3d9a01e130312dac5,True,half_step,2.624186474920222e-14,True
train,b425aac80f497b5ef939491434672e3b720431c2f78a68a3d9a01e130312dac5,True,independent,6.608490505711641e-13,True
train,5c63d692d3161d614b5f758abfe3bb106c7dd66d9f52366485dac03d7a88a4d6,False,half_step,1.2982654870869197e-13,True
train,5c63d692d3161d614b5f758abfe3bb106c7dd66d9f52366485dac03d7a88a4d6,False,independent,1.0388934478922101e-12,True
train,5b7bc51925058626c83e12a720b0f40254af1641e83f00783ddf2eacffbdca18,False,half_step,1.217191282787115e-12,True
train,5b7bc51925058626c83e12a720b0f40254af1641e83f00783ddf2eacffbdca18,False,independent,2.0157195124060467e-12,True
train,ec43e7ebcd52a532cb035d548c8de90e6ee6f8282eb972c31b9bc35013310637,False,half_step,4.067627809122274e-12,True
train,ec43e7ebcd52a532cb035d548c8de90e6ee6f8282eb972c31b9bc35013310637,False,independent,3.9467911066166095e-12,True
train,a87296536140b295597511f6bbf6249dfaef7f2629e45abec87f377e55ae23af,False,half_step,1.5904371688543972e-10,True
train,a87296536140b295597511f6bbf6249dfaef7f2629e45abec87f377e55ae23af,False,independent,1.6918635815253988e-10,True
