case,waist_um,switch,check,descriptor,error,passed,reason
0,0.874,P01,tail,D,0.0,True,
0,0.874,P01,tail,A_med,0.0,True,
0,0.874,P01,tail,ilr_z1,0.0,True,
0,0.874,P01,tail,ilr_z2,0.0,True,
0,0.874,P01,tail,ilr_z3,0.0,True,
0,0.874,P01,tail,ilr_z4,0.0,True,
0,0.874,P01,tail,A2_8_16,0.0,True,
0,0.874,P01,tail,entropy_8_16,0.0,True,
0,0.874,P01,tail,A2_16_32,0.0,True,
0,0.874,P01,tail,entropy_16_32,0.0,True,
1,0.874,P01,tail,D,0.0,True,
1,0.874,P01,tail,A_med,0.0,True,
1,0.874,P01,tail,ilr_z1,0.0,True,
1,0.874,P01,tail,ilr_z2,0.0,True,
1,0.874,P01,tail,ilr_z3,0.0,True,
1,0.874,P01,tail,ilr_z4,0.0,True,
1,0.874,P01,tail,A2_8_16,0.0,True,
1,0.874,P01,tail,entropy_8_16,0.0,True,
1,0.874,P01,tail,A2_16_32,0.0,True,
1,0.874,P01,tail,entropy_16_32,0.0,True,
2,0.874,P11,tail,D,0.0,True,
2,0.874,P11,tail,A_med,0.0,True,
2,0.874,P11,tail,ilr_z1,0.0,True,
2,0.874,P11,tail,ilr_z2,0.0,True,
2,0.874,P11,tail,ilr_z3,0.0,True,
2,0.874,P11,tail,ilr_z4,0.0,True,
2,0.874,P11,tail,A2_8_16,0.0,True,
2,0.874,P11,tail,entropy_8_16,0.0,True,
2,0.874,P11,tail,A2_16_32,0.0,True,
2,0.874,P11,tail,entropy_16_32,0.0,True,
3,0.874,P11,tail,D,0.0,True,
3,0.874,P11,tail,A_med,0.0,True,
3,0.874,P11,tail,ilr_z1,0.0,True,
3,0.874,P11,tail,ilr_z2,0.0,True,
3,0.874,P11,tail,ilr_z3,0.0,True,
3,0.874,P11,tail,ilr_z4,0.0,True,
3,0.874,P11,tail,A2_8_16,0.0,True,
3,0.874,P11,tail,entropy_8_16,0.0,True,
3,0.874,P11,tail,A2_16_32,0.0,True,
3,0.874,P11,tail,entropy_16_32,0.0,True,
3,0.874,P11,grid_finest,D,0.013418946682446154,False,
3,0.874,P11,grid_finest,A_med,0.024104084221178424,False,
3,0.874,P11,grid_finest,ilr_z1,0.00691923007260467,True,
3,0.874,P11,grid_finest,ilr_z2,0.007687636338147667,True,
3,0.874,P11,grid_finest,ilr_z3,0.0015554415216570416,True,
3,0.874,P11,grid_finest,ilr_z4,0.00038547555467327577,True,
3,0.874,P11,grid_finest,A2_8_16,0.003804964163556024,True,
3,0.874,P11,grid_finest,entropy_8_16,0.0038274767218838546,True,
3,0.874,P11,grid_finest,A2_16_32,0.00030354705867230436,True,
3,0.874,P11,grid_finest,entropy_16_32,0.00043940279714851926,True,
3,0.874,P11,grid_to_direct_points,D,0.0005947909330427337,True,
3,0.874,P11,grid_to_direct_points,A_med,0.006617445507656175,True,
3,0.874,P11,grid_to_direct_points,ilr_z1,4.3819049733486855e-05,True,
3,0.874,P11,grid_to_direct_points,ilr_z2,0.00024667008077230106,True,
3,0.874,P11,grid_to_direct_points,ilr_z3,0.00017785909745998696,True,
3,0.874,P11,grid_to_direct_points,ilr_z4,4.401431139033907e-05,True,
3,0.874,P11,grid_to_direct_points,A2_8_16,0.003641871250153028,True,
3,0.874,P11,grid_to_direct_points,entropy_8_16,0.003736479733959991,True,
3,0.874,P11,grid_to_direct_points,A2_16_32,0.0007598262653106813,True,
3,0.874,P11,grid_to_direct_points,entropy_16_32,0.0008873842519570851,True,
4,2.0,P01,tail,D,0.0,True,
4,2.0,P01,tail,A_med,0.0,True,
4,2.0,P01,tail,ilr_z1,0.0,True,
4,2.0,P01,tail,ilr_z2,0.0,True,
4,2.0,P01,tail,ilr_z3,0.0,True,
4,2.0,P01,tail,ilr_z4,0.0,True,
4,2.0,P01,tail,A2_8_16,0.0,True,
4,2.0,P01,tail,entropy_8_16,0.0,True,
4,2.0,P01,tail,A2_16_32,0.0,True,
4,2.0,P01,tail,entropy_16_32,0.0,True,
5,2.0,P01,tail,D,0.0,True,
5,2.0,P01,tail,A_med,0.0,True,
5,2.0,P01,tail,ilr_z1,0.0,True,
5,2.0,P01,tail,ilr_z2,0.0,True,
5,2.0,P01,tail,ilr_z3,0.0,True,
5,2.0,P01,tail,ilr_z4,0.0,True,
5,2.0,P01,tail,A2_8_16,0.0,True,
5,2.0,P01,tail,entropy_8_16,0.0,True,
5,2.0,P01,tail,A2_16_32,0.0,True,
5,2.0,P01,tail,entropy_16_32,0.0,True,
6,2.0,P11,tail,D,0.0,True,
6,2.0,P11,tail,A_med,0.0,True,
6,2.0,P11,tail,ilr_z1,0.0,True,
6,2.0,P11,tail,ilr_z2,0.0,True,
6,2.0,P11,tail,ilr_z3,0.0,True,
6,2.0,P11,tail,ilr_z4,0.0,True,
6,2.0,P11,tail,A2_8_16,0.0,True,
6,2.0,P11,tail,entropy_8_16,0.0,True,
6,2.0,P11,tail,A2_16_32,0.0,True,
6,2.0,P11,tail,entropy_16_32,0.0,True,
7,2.0,P11,tail,D,0.0,True,
7,2.0,P11,tail,A_med,0.0,True,
7,2.0,P11,tail,ilr_z1,0.0,True,
7,2.0,P11,tail,ilr_z2,0.0,True,
7,2.0,P11,tail,ilr_z3,0.0,True,
7,2.0,P11,tail,ilr_z4,0.0,True,
7,2.0,P11,tail,A2_8_16,0.0,True,
7,2.0,P11,tail,entropy_8_16,0.0,True,
7,2.0,P11,tail,A2_16_32,0.0,True,
7,2.0,P11,tail,entropy_16_32,0.0,True,
8,3.0,P01,tail,D,0.0,True,
8,3.0,P01,tail,A_med,0.0,True,
8,3.0,P01,tail,ilr_z1,0.0,True,
8,3.0,P01,tail,ilr_z2,0.0,True,
8,3.0,P01,tail,ilr_z3,0.0,True,
8,3.0,P01,tail,ilr_z4,0.0,True,
8,3.0,P01,tail,A2_8_16,0.0,True,
8,3.0,P01,tail,entropy_8_16,0.0,True,
8,3.0,P01,tail,A2_16_32,0.0,True,
8,3.0,P01,tail,entropy_16_32,0.0,True,
9,3.0,P01,tail,D,0.0,True,
9,3.0,P01,tail,A_med,0.0,True,
9,3.0,P01,tail,ilr_z1,0.0,True,
9,3.0,P01,tail,ilr_z2,0.0,True,
9,3.0,P01,tail,ilr_z3,0.0,True,
9,3.0,P01,tail,ilr_z4,0.0,True,
9,3.0,P01,tail,A2_8_16,0.0,True,
9,3.0,P01,tail,entropy_8_16,0.0,True,
9,3.0,P01,tail,A2_16_32,0.0,True,
9,3.0,P01,tail,entropy_16_32,0.0,True,
10,3.0,P11,tail,D,0.0,True,
10,3.0,P11,tail,A_med,0.0,True,
10,3.0,P11,tail,ilr_z1,0.0,True,
10,3.0,P11,tail,ilr_z2,0.0,True,
10,3.0,P11,tail,ilr_z3,0.0,True,
10,3.0,P11,tail,ilr_z4,0.0,True,
10,3.0,P11,tail,A2_8_16,0.0,True,
10,3.0,P11,tail,entropy_8_16,0.0,True,
10,3.0,P11,tail,A2_16_32,0.0,True,
10,3.0,P11,tail,entropy_16_32,0.0,True,
11,3.0,P11,tail,D,0.0,True,
11,3.0,P11,tail,A_med,0.0,True,
11,3.0,P11,tail,ilr_z1,0.0,True,
11,3.0,P11,tail,ilr_z2,0.0,True,
11,3.0,P11,tail,ilr_z3,0.0,True,
11,3.0,P11,tail,ilr_z4,0.0,True,
11,3.0,P11,tail,A2_8_16,0.0,True,
11,3.0,P11,tail,entropy_8_16,0.0,True,
11,3.0,P11,tail,A2_16_32,0.0,True,
11,3.0,P11,tail,entropy_16_32,0.0,True,
