point,direction,family,ad,fd_chosen,stable_plateau,fd_table,rel_error,passed,unexplained
0,control_early_u1_token5,0,0.002956964156843514,0.0029569641388227375,True,"[0.0029569641589413664, 0.0029569641568638616, 0.0029569641571414174, 0.0029569641596394187, 0.0029569641388227375]",6.094350744644824e-09,True,False
1,parameter_readout_last_weight,0,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
2,control_early_u1_token5,1,0.006651951657862963,0.0066519517186169885,True,"[0.006651951665232608, 0.006651951657901667, 0.006651951657762889, 0.006651951654085274, 0.0066519517186169885]",9.133263298780591e-09,True,False
3,parameter_readout_last_weight,1,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
4,control_early_u1_token5,2,0.002652143234594718,0.0026521431994996902,True,"[0.0026521432364784436, 0.002652143234575799, 0.0026521432344717155, 0.0026521432341941593, 0.0026521431994996902]",1.3232704448499752e-08,True,False
5,parameter_readout_last_weight,2,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
6,control_early_u1_token5,3,-0.001674610816039132,-0.0016746108666421122,True,"[-0.0016746108161380668, -0.0016746108161339035, -0.0016746108161269646, -0.001674610822233191, -0.0016746108666421122]",3.021775546581552e-08,True,False
7,parameter_readout_last_weight,3,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
8,control_early_u1_token5,4,-0.0022111937758011227,-0.002211193755874419,True,"[-0.0022111937759812517, -0.0022111937757821054, -0.002211193776205378, -0.0022111937753033217, -0.002211193755874419]",9.0117402500722e-09,True,False
9,parameter_readout_last_weight,4,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
10,control_early_u1_token5,5,0.0032400674948985346,0.0032400675198385187,True,"[0.0032400674954503883, 0.003240067494823806, 0.0032400674948585007, 0.003240067492776832, 0.0032400675198385187]",7.69736560888169e-09,True,False
11,parameter_readout_last_weight,5,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
12,control_early_u1_token5,6,0.004993109390558743,0.004993109391226991,True,"[0.004993109391803613, 0.004993109390470651, 0.004993109390741268, 0.0049931093995536635, 0.004993109391226991]",1.3383395456829615e-10,True,False
13,parameter_readout_last_weight,6,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
14,control_early_u1_token5,7,-0.0003852267227788388,-0.0003852267255188835,True,"[-0.00038522672280091874, -0.0003852267227710815, -0.0003852267227433259, -0.00038522672343721526, -0.0003852267255188835]",7.112810508752094e-09,True,False
15,parameter_readout_last_weight,7,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
16,control_early_u1_token5,0,0.002956964156843514,0.0029569641388227375,True,"[0.0029569641589413664, 0.0029569641568638616, 0.0029569641571414174, 0.0029569641596394187, 0.0029569641388227375]",6.094350744644824e-09,True,False
17,parameter_readout_last_weight,0,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
18,control_early_u1_token5,1,0.006651951657862963,0.0066519517186169885,True,"[0.006651951665232608, 0.006651951657901667, 0.006651951657762889, 0.006651951654085274, 0.0066519517186169885]",9.133263298780591e-09,True,False
19,parameter_readout_last_weight,1,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
20,control_early_u1_token5,2,0.002652143234594718,0.0026521431994996902,True,"[0.0026521432364784436, 0.002652143234575799, 0.0026521432344717155, 0.0026521432341941593, 0.0026521431994996902]",1.3232704448499752e-08,True,False
21,parameter_readout_last_weight,2,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
22,control_early_u1_token5,3,-0.001674610816039132,-0.0016746108666421122,True,"[-0.0016746108161380668, -0.0016746108161339035, -0.0016746108161269646, -0.001674610822233191, -0.0016746108666421122]",3.021775546581552e-08,True,False
23,parameter_readout_last_weight,3,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
24,control_early_u1_token5,4,-0.0022111937758011227,-0.002211193755874419,True,"[-0.0022111937759812517, -0.0022111937757821054, -0.002211193776205378, -0.0022111937753033217, -0.002211193755874419]",9.0117402500722e-09,True,False
25,parameter_readout_last_weight,4,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
26,control_early_u1_token5,5,0.0032400674948985346,0.0032400675198385187,True,"[0.0032400674954503883, 0.003240067494823806, 0.0032400674948585007, 0.003240067492776832, 0.0032400675198385187]",7.69736560888169e-09,True,False
27,parameter_readout_last_weight,5,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
28,control_early_u1_token5,6,0.004993109390558743,0.004993109391226991,True,"[0.004993109391803613, 0.004993109390470651, 0.004993109390741268, 0.0049931093995536635, 0.004993109391226991]",1.3383395456829615e-10,True,False
29,parameter_readout_last_weight,6,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
30,control_early_u1_token5,7,-0.0003852267227788388,-0.0003852267255188835,True,"[-0.00038522672280091874, -0.0003852267227710815, -0.0003852267227433259, -0.00038522672343721526, -0.0003852267255188835]",7.112810508752094e-09,True,False
31,parameter_readout_last_weight,7,0.0,0.0,True,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,True,False
