job,switch,out_of_bounds_accepted,rejected_as_required,message,vector
outofbounds_P00_log_F1_J_m2_lower,P00,False,True,ValueError: Calibration parameter out of bounds,"[4.37474, -20.7235, 0.0, 0.0]"
outofbounds_P00_log_F1_J_m2_upper,P00,False,True,ValueError: Calibration parameter out of bounds,"[16.34826, -20.7235, 0.0, 0.0]"
outofbounds_P00_log_delta_m_upper,P00,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -13.5397, 0.0, 0.0]"
outofbounds_P00_log_delta_m_lower,P00,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -27.9073, 0.0, 0.0]"
outofbounds_P00_gamma_F_lower,P00,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -1.04, 0.0]"
outofbounds_P00_gamma_F_upper,P00,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, 1.04, 0.0]"
outofbounds_P00_gamma_delta_upper,P00,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, 0.0, 1.04]"
outofbounds_P10_log_F1_J_m2_lower,P10,False,True,ValueError: Calibration parameter out of bounds,"[4.37474, -20.7235, 0.0, 0.0]"
outofbounds_P00_gamma_delta_lower,P00,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, 0.0, -1.04]"
outofbounds_P10_log_F1_J_m2_upper,P10,False,True,ValueError: Calibration parameter out of bounds,"[16.34826, -20.7235, 0.0, 0.0]"
outofbounds_P10_log_delta_m_upper,P10,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -13.5397, 0.0, 0.0]"
outofbounds_P10_gamma_F_upper,P10,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, 1.04, 0.0]"
outofbounds_P10_log_delta_m_lower,P10,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -27.9073, 0.0, 0.0]"
outofbounds_P10_gamma_F_lower,P10,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -1.04, 0.0]"
outofbounds_P10_gamma_delta_upper,P10,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, 0.0, 1.04]"
outofbounds_P10_gamma_delta_lower,P10,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, 0.0, -1.04]"
outofbounds_P01_log_F1_J_m2_upper,P01,False,True,ValueError: Calibration parameter out of bounds,"[16.34826, -20.7235, -4.258500000000001, 0.0, 0.0, 0.0]"
outofbounds_P01_log_F1_J_m2_lower,P01,False,True,ValueError: Calibration parameter out of bounds,"[4.37474, -20.7235, -4.258500000000001, 0.0, 0.0, 0.0]"
outofbounds_P01_log_delta_m_lower,P01,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -27.9073, -4.258500000000001, 0.0, 0.0, 0.0]"
outofbounds_P01_log_delta_m_upper,P01,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -13.5397, -4.258500000000001, 0.0, 0.0, 0.0]"
outofbounds_P01_log_kappa_lower,P01,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -9.40806, 0.0, 0.0, 0.0]"
outofbounds_P01_logit_rho_lower,P01,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -4.258500000000001, -6.24, 0.0, 0.0]"
outofbounds_P01_log_kappa_upper,P01,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, 0.89106, 0.0, 0.0, 0.0]"
outofbounds_P01_logit_rho_upper,P01,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -4.258500000000001, 6.24, 0.0, 0.0]"
outofbounds_P01_gamma_F_upper,P01,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -4.258500000000001, 0.0, 1.04, 0.0]"
outofbounds_P01_gamma_F_lower,P01,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -4.258500000000001, 0.0, -1.04, 0.0]"
outofbounds_P01_gamma_delta_upper,P01,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -4.258500000000001, 0.0, 0.0, 1.04]"
outofbounds_P01_gamma_delta_lower,P01,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -4.258500000000001, 0.0, 0.0, -1.04]"
outofbounds_P11_log_F1_J_m2_lower,P11,False,True,ValueError: Calibration parameter out of bounds,"[4.37474, -20.7235, -4.258500000000001, 0.0, 0.0, 0.0]"
outofbounds_P11_log_F1_J_m2_upper,P11,False,True,ValueError: Calibration parameter out of bounds,"[16.34826, -20.7235, -4.258500000000001, 0.0, 0.0, 0.0]"
outofbounds_P11_log_delta_m_lower,P11,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -27.9073, -4.258500000000001, 0.0, 0.0, 0.0]"
outofbounds_P11_log_delta_m_upper,P11,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -13.5397, -4.258500000000001, 0.0, 0.0, 0.0]"
outofbounds_P11_log_kappa_lower,P11,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -9.40806, 0.0, 0.0, 0.0]"
outofbounds_P11_log_kappa_upper,P11,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, 0.89106, 0.0, 0.0, 0.0]"
outofbounds_P11_logit_rho_upper,P11,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -4.258500000000001, 6.24, 0.0, 0.0]"
outofbounds_P11_gamma_F_lower,P11,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -4.258500000000001, 0.0, -1.04, 0.0]"
outofbounds_P11_logit_rho_lower,P11,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -4.258500000000001, -6.24, 0.0, 0.0]"
outofbounds_P11_gamma_F_upper,P11,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -4.258500000000001, 0.0, 1.04, 0.0]"
outofbounds_P11_gamma_delta_lower,P11,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -4.258500000000001, 0.0, 0.0, -1.04]"
outofbounds_P11_gamma_delta_upper,P11,False,True,ValueError: Calibration parameter out of bounds,"[10.3615, -20.7235, -4.258500000000001, 0.0, 0.0, 1.04]"
