descriptor,error,passed,reason,job,switch,waist_um,dataset_index,check
D,0.0,True,,grid_3_P00_w0.874,P00,0.874,3,grid_finest
A_med,0.001982833653233825,True,,grid_3_P00_w0.874,P00,0.874,3,grid_finest
ilr_z1,0.0011267350113989697,True,,grid_3_P00_w0.874,P00,0.874,3,grid_finest
ilr_z2,0.0037165034114495232,True,,grid_3_P00_w0.874,P00,0.874,3,grid_finest
ilr_z3,0.00014584869047284954,True,,grid_3_P00_w0.874,P00,0.874,3,grid_finest
ilr_z4,2.5868065355859685e-05,True,,grid_3_P00_w0.874,P00,0.874,3,grid_finest
A2_8_16,4.572409117997722e-09,True,,grid_3_P00_w0.874,P00,0.874,3,grid_finest
entropy_8_16,7.21043111190367e-08,True,,grid_3_P00_w0.874,P00,0.874,3,grid_finest
A2_16_32,0.0015619332149749976,True,,grid_3_P00_w0.874,P00,0.874,3,grid_finest
entropy_16_32,0.0004648515274809917,True,,grid_3_P00_w0.874,P00,0.874,3,grid_finest
D,0.0,True,,grid_3_P00_w0.874,P00,0.874,3,grid_to_direct_points
A_med,0.0006674440229400419,True,,grid_3_P00_w0.874,P00,0.874,3,grid_to_direct_points
ilr_z1,7.141239642314553e-05,True,,grid_3_P00_w0.874,P00,0.874,3,grid_to_direct_points
ilr_z2,0.00036378342923432117,True,,grid_3_P00_w0.874,P00,0.874,3,grid_to_direct_points
ilr_z3,1.496070045003961e-05,True,,grid_3_P00_w0.874,P00,0.874,3,grid_to_direct_points
ilr_z4,2.6503162989261614e-06,True,,grid_3_P00_w0.874,P00,0.874,3,grid_to_direct_points
A2_8_16,7.665623691366363e-11,True,,grid_3_P00_w0.874,P00,0.874,3,grid_to_direct_points
entropy_8_16,1.1345153982933454e-10,True,,grid_3_P00_w0.874,P00,0.874,3,grid_to_direct_points
A2_16_32,1.3387653492125118e-05,True,,grid_3_P00_w0.874,P00,0.874,3,grid_to_direct_points
entropy_16_32,5.52950214460779e-06,True,,grid_3_P00_w0.874,P00,0.874,3,grid_to_direct_points
D,0.004621606558952158,True,,grid_2_P00_w0.874,P00,0.874,2,grid_finest
A_med,0.003351834331236238,True,,grid_2_P00_w0.874,P00,0.874,2,grid_finest
ilr_z1,0.0009416607427430614,True,,grid_2_P00_w0.874,P00,0.874,2,grid_finest
ilr_z2,0.001435999066271418,True,,grid_2_P00_w0.874,P00,0.874,2,grid_finest
ilr_z3,0.00017637762086053835,True,,grid_2_P00_w0.874,P00,0.874,2,grid_finest
ilr_z4,3.2575867255638796e-05,True,,grid_2_P00_w0.874,P00,0.874,2,grid_finest
A2_8_16,1.4404118094946128e-06,True,,grid_2_P00_w0.874,P00,0.874,2,grid_finest
entropy_8_16,3.543793014273988e-06,True,,grid_2_P00_w0.874,P00,0.874,2,grid_finest
A2_16_32,8.420930739827526e-06,True,,grid_2_P00_w0.874,P00,0.874,2,grid_finest
entropy_16_32,3.2290199533435704e-05,True,,grid_2_P00_w0.874,P00,0.874,2,grid_finest
D,0.0015334485238964418,True,,grid_2_P00_w0.874,P00,0.874,2,grid_to_direct_points
A_med,0.0005158724687643196,True,,grid_2_P00_w0.874,P00,0.874,2,grid_to_direct_points
ilr_z1,6.728377750795206e-05,True,,grid_2_P00_w0.874,P00,0.874,2,grid_to_direct_points
ilr_z2,9.783084110430181e-05,True,,grid_2_P00_w0.874,P00,0.874,2,grid_to_direct_points
ilr_z3,1.3995147892440111e-05,True,,grid_2_P00_w0.874,P00,0.874,2,grid_to_direct_points
ilr_z4,2.591739134791271e-06,True,,grid_2_P00_w0.874,P00,0.874,2,grid_to_direct_points
A2_8_16,1.1093072616041866e-07,True,,grid_2_P00_w0.874,P00,0.874,2,grid_to_direct_points
entropy_8_16,2.740283095853391e-07,True,,grid_2_P00_w0.874,P00,0.874,2,grid_to_direct_points
A2_16_32,6.856544270128495e-07,True,,grid_2_P00_w0.874,P00,0.874,2,grid_to_direct_points
entropy_16_32,2.633724070333354e-06,True,,grid_2_P00_w0.874,P00,0.874,2,grid_to_direct_points
D,0.003707709299391526,True,,grid_1_P00_w0.874,P00,0.874,1,grid_finest
A_med,0.002717702361772583,True,,grid_1_P00_w0.874,P00,0.874,1,grid_finest
ilr_z1,0.0009395319564942315,True,,grid_1_P00_w0.874,P00,0.874,1,grid_finest
ilr_z2,0.0011915032674059427,True,,grid_1_P00_w0.874,P00,0.874,1,grid_finest
ilr_z3,0.00014584869046874172,True,,grid_1_P00_w0.874,P00,0.874,1,grid_finest
ilr_z4,2.5868065362866233e-05,True,,grid_1_P00_w0.874,P00,0.874,1,grid_finest
A2_8_16,0.0002888203239886922,True,,grid_1_P00_w0.874,P00,0.874,1,grid_finest
entropy_8_16,0.0001582369460525479,True,,grid_1_P00_w0.874,P00,0.874,1,grid_finest
A2_16_32,0.0006785643012895415,True,,grid_1_P00_w0.874,P00,0.874,1,grid_finest
entropy_16_32,0.0002331452522542632,True,,grid_1_P00_w0.874,P00,0.874,1,grid_finest
D,0.0012313376577109281,True,,grid_1_P00_w0.874,P00,0.874,1,grid_to_direct_points
A_med,0.0003999922813322308,True,,grid_1_P00_w0.874,P00,0.874,1,grid_to_direct_points
ilr_z1,0.00010768195126993685,True,,grid_1_P00_w0.874,P00,0.874,1,grid_to_direct_points
ilr_z2,0.00013984393022875889,True,,grid_1_P00_w0.874,P00,0.874,1,grid_to_direct_points
ilr_z3,1.4960700448707343e-05,True,,grid_1_P00_w0.874,P00,0.874,1,grid_to_direct_points
ilr_z4,2.6503162984439083e-06,True,,grid_1_P00_w0.874,P00,0.874,1,grid_to_direct_points
A2_8_16,2.1895865790599878e-05,True,,grid_1_P00_w0.874,P00,0.874,1,grid_to_direct_points
entropy_8_16,1.151012881350777e-05,True,,grid_1_P00_w0.874,P00,0.874,1,grid_to_direct_points
A2_16_32,4.87691772329546e-05,True,,grid_1_P00_w0.874,P00,0.874,1,grid_to_direct_points
entropy_16_32,1.6099479093256708e-05,True,,grid_1_P00_w0.874,P00,0.874,1,grid_to_direct_points
D,0.0006483681532172159,True,,grid_3_P00_w2.0,P00,2.0,3,grid_finest
A_med,0.0015937737097654566,True,,grid_3_P00_w2.0,P00,2.0,3,grid_finest
ilr_z1,3.518127935685123e-05,True,,grid_3_P00_w2.0,P00,2.0,3,grid_finest
ilr_z2,0.001269903689150389,True,,grid_3_P00_w2.0,P00,2.0,3,grid_finest
ilr_z3,0.00021857825490079197,True,,grid_3_P00_w2.0,P00,2.0,3,grid_finest
ilr_z4,3.8922514001530836e-05,True,,grid_3_P00_w2.0,P00,2.0,3,grid_finest
A2_8_16,4.424175470418845e-10,True,,grid_3_P00_w2.0,P00,2.0,3,grid_finest
entropy_8_16,8.276872867640783e-09,True,,grid_3_P00_w2.0,P00,2.0,3,grid_finest
A2_16_32,0.00012755323556756792,True,,grid_3_P00_w2.0,P00,2.0,3,grid_finest
entropy_16_32,7.9833686902675e-05,True,,grid_3_P00_w2.0,P00,2.0,3,grid_finest
