job,vector,D_um,A_um,implausible_depth,all_finite,accepted,failure
domain_P00_0_w0.874_r3,"[4.605, -27.631, -1.0, -1.0]",9.959170283080392e-06,3.600600982202186e-05,False,True,True,
domain_P00_0_w0.874_r1,"[4.605, -27.631, -1.0, -1.0]",9.865426631822586e-05,4.7003309343979533e-05,False,True,True,
domain_P00_0_w0.874_r0,"[4.605, -27.631, -1.0, -1.0]",0.00012081591356100828,7.849653372207405e-05,False,True,True,
domain_P00_0_w2.0_r3,"[4.605, -27.631, -1.0, -1.0]",0.00011091500472203536,2.1744829789107835e-05,False,True,True,
domain_P00_0_w3.0_r3,"[4.605, -27.631, -1.0, -1.0]",0.00022626161523676535,1.9610095470522652e-05,False,True,True,
domain_P00_0_w2.0_r1,"[4.605, -27.631, -1.0, -1.0]",0.00036684847591288676,1.757047453796118e-05,False,True,True,
domain_P00_0_w2.0_r0,"[4.605, -27.631, -1.0, -1.0]",0.0004956611169280177,4.055927564650229e-05,False,True,True,
domain_P00_0_w3.0_r1,"[4.605, -27.631, -1.0, -1.0]",0.000748094143968292,1.6452215371904824e-05,False,True,True,
domain_P00_1_w0.874_r3,"[4.605, -13.816, -1.0, -1.0]",9.954086847179564,35.98763135898004,False,True,True,
domain_P00_1_w0.874_r1,"[4.605, -13.816, -1.0, -1.0]",98.60391045273538,46.979317555167285,False,True,True,
domain_P00_1_w0.874_r0,"[4.605, -13.816, -1.0, -1.0]",120.75424577795705,78.45646692069693,False,True,True,
domain_P00_1_w2.0_r3,"[4.605, -13.816, -1.0, -1.0]",110.85839063663289,21.733730626701192,False,True,True,
domain_P00_0_w3.0_r0,"[4.605, -27.631, -1.0, -1.0]",0.0009698826828014361,1.98144153158984e-05,False,True,True,
domain_P00_1_w2.0_r1,"[4.605, -13.816, -1.0, -1.0]",366.66122630678376,17.561506081902902,False,True,True,
domain_P00_2_w0.874_r3,"[16.118, -27.631, -1.0, -1.0]",-0.0,6.498100940863812e-06,False,True,True,
domain_P00_2_w0.874_r1,"[16.118, -27.631, -1.0, -1.0]",-0.0,1.531617080039828e-05,False,True,True,
