job,D_um,A_um,implausible_depth,max_window_attempts,physical_pulses,evaluated_point_pulse_updates,band_valid,all_finite
recipe_0_P00_w0.874,0.04697752205638123,0.0528870143548933,False,1,14400,1747200,True,True
recipe_3_P00_w0.874,-0.0,0.025642309891764616,False,1,3300,403200,True,True
recipe_1_P00_w0.874,0.042852366269074876,0.039068140345968304,False,1,11000,1344000,True,True
recipe_2_P00_w0.874,0.02065213914250604,0.02435466313058745,False,1,5643,714240,True,True
recipe_2_P00_w2.0,0.09098868117500639,0.009407447017904892,False,1,5643,3754416,True,True
recipe_3_P00_w2.0,0.055928930801098425,0.024052630351560456,False,1,3300,2198400,True,True
recipe_1_P00_w2.0,0.1649426367762166,0.022507218471969816,False,1,11000,7328000,True,True
recipe_0_P00_w3.0,0.4416345687660569,0.025576513090472073,False,1,14400,21626880,True,True
recipe_0_P00_w2.0,0.22886860726049021,0.007385804430799271,False,1,14400,9625600,True,True
recipe_3_P00_w3.0,0.09927212245114658,0.005837653001918051,False,1,3300,4962240,True,True
recipe_2_P00_w3.0,0.1750144353035305,0.014951112558764577,False,1,5643,8424960,True,True
recipe_1_P00_w3.0,0.33792354634252664,0.014471471808015337,False,1,11000,16540800,True,True
recipe_3_P10_w0.874,-0.0,0.025642852505449096,False,2,3300,829440,True,True
recipe_2_P10_w0.874,0.020653069589631045,0.024355203822390818,False,2,5643,1529496,True,True
recipe_0_P10_w0.874,0.04699542265117085,0.05291274266427038,False,2,14400,4575360,True,True
recipe_1_P10_w0.874,0.04286003285206006,0.03906966455923516,False,2,11000,3802000,True,True
recipe_3_P10_w2.0,0.05592927188210019,0.02405281184650762,False,2,3300,7160640,True,True
recipe_0_P01_w0.874,0.0531229852317842,0.055190371611163094,False,1,14400,1747200,True,True
recipe_1_P01_w0.874,0.04542378372743043,0.039775282289063886,False,1,11000,1344000,True,True
recipe_2_P01_w0.874,0.021446329745716322,0.02474906560071963,False,1,5643,714240,True,True
recipe_3_P01_w0.874,-0.0,0.026081252107472676,False,1,3300,403200,True,True
recipe_2_P10_w2.0,0.09099160181569584,0.009407312243216006,False,2,5643,12179376,True,True
recipe_1_P01_w2.0,0.19263570780651795,0.025505656980861588,False,1,11000,7328000,True,True
recipe_0_P01_w2.0,0.267871141011486,0.011144016253072396,False,1,14400,9625600,True,True
recipe_2_P01_w2.0,0.0975312504029087,0.008289282658767516,False,1,5643,3754416,True,True
recipe_3_P01_w2.0,0.05758959948788737,0.02453758125308927,False,1,3300,2198400,True,True
recipe_3_P10_w3.0,0.0992726688692859,0.005837619616996573,False,2,3300,16056000,True,True
recipe_1_P10_w2.0,0.16495339695324976,0.022512535063406548,False,2,11000,23868800,True,True
recipe_2_P01_w3.0,0.20561462335923583,0.015972771685240802,False,1,5643,8424960,True,True
recipe_3_P01_w3.0,0.11359602920136788,0.006316680038817594,False,1,3300,4962240,True,True
recipe_1_P11_w0.874,0.04543202457195789,0.03977692207635204,False,2,11000,3802000,True,True
recipe_1_P01_w3.0,0.4122482430130469,0.016581690302351165,False,1,11000,16540800,True,True
recipe_2_P10_w3.0,0.1750173811893569,0.01495138612430878,False,2,5643,27386880,True,True
recipe_0_P11_w0.874,0.05314463183870536,0.0552181255644494,False,2,14400,4575360,True,True
recipe_3_P11_w0.874,-0.0,0.02608180710743976,False,2,3300,829440,True,True
recipe_2_P11_w0.874,0.021447290481099147,0.02474968722331511,False,2,5643,1529496,True,True
recipe_0_P10_w2.0,0.22890224306342596,0.007383005316169614,False,2,14400,31252480,True,True
recipe_0_P01_w3.0,0.5380767022694112,0.019434085583760394,False,1,14400,21626880,True,True
recipe_3_P11_w2.0,0.05758960997036948,0.024537741367111694,False,2,3300,7160640,True,True
recipe_2_P11_w2.0,0.09753165211400737,0.008289362053307476,False,2,5643,12179376,True,True
recipe_1_P11_w2.0,0.19265863026967917,0.02550871691606395,False,2,11000,23868800,True,True
recipe_1_P10_w3.0,0.337938923398142,0.014472374278632238,False,2,11000,53520000,True,True
recipe_3_P11_w3.0,0.11359731630445337,0.006316919744528871,False,2,3300,16056000,True,True
recipe_0_P11_w2.0,0.2679119412316025,0.01116180867472289,False,2,14400,31252480,True,True
recipe_0_P10_w3.0,0.44167062187842615,0.025575155002088148,False,2,14400,70149120,True,True
recipe_2_P11_w3.0,0.2056184482970625,0.01597288619901189,False,2,5643,27386880,True,True
recipe_1_P11_w3.0,0.4122915415774123,0.016586106861314853,False,2,11000,53520000,True,True
recipe_0_P11_w3.0,0.538139896415102,0.01942680183182189,False,2,14400,70149120,True,True
