pair_id,anchor_id,candidate_id,chosen_id
0,0,A1,A0
0,0,B0,A0
1,0,A1,A0
1,0,B0,A0
2,0,A1,A0
2,0,B0,A0
3,0,A0,A0
3,0,B1,A0
4,0,A0,A0
4,0,B1,A0
5,0,A1,A0
5,0,B0,A0
6,0,A0,A0
6,0,B1,A0
7,0,A1,A0
7,0,B0,A0
8,0,A0,A0
8,0,B1,A0
9,0,A1,A0
9,0,B0,A0
10,0,A0,A0
10,0,B1,A0
11,0,A1,A0
11,0,B0,A0
12,0,A0,A0
12,0,B1,A0
13,0,A0,A0
13,0,B1,A0
14,0,A1,A0
14,0,B0,A0
15,0,A1,A0
15,0,B0,A0
16,0,A0,A0
16,0,B1,A0
17,0,A1,A0
17,0,B0,A0
18,0,A1,A0
18,0,B0,A0
19,0,A0,A0
19,0,B1,A0
20,0,A0,A0
20,0,B1,A0
21,0,A0,A0
21,0,B1,A0
22,0,A1,A0
22,0,B0,A0
23,0,A1,A0
23,0,B0,A0
24,0,A0,A0
24,0,B1,A0
25,0,A1,A0
25,0,B0,A0
26,0,A0,A0
26,0,B1,A0
27,0,A1,A0
27,0,B0,A0
28,0,A1,A0
28,0,B0,A0
29,0,A1,A0
29,0,B0,A0
30,0,A0,A0
30,0,B1,A0
31,0,A1,A0
31,0,B0,A0
32,0,A0,A0
32,0,B1,A0
33,0,A1,A0
33,0,B0,A0
34,0,A1,A0
34,0,B0,A0
35,0,A1,A0
35,0,B0,A0
36,0,A0,A0
36,0,B1,A0
37,0,A1,A0
37,0,B0,A0
38,0,A1,A0
38,0,B0,A0
39,0,A0,A0
39,0,B1,A0
40,0,A0,A0
40,0,B1,A0
41,0,A0,A0
41,0,B1,A0
42,0,A0,A0
42,0,B1,A0
43,0,A0,A0
43,0,B1,A0
44,0,A1,A0
44,0,B0,A0
45,0,A1,A0
45,0,B0,A0
46,0,A0,A0
46,0,B1,A0
47,0,A1,A0
47,0,B0,A0
48,0,A0,A0
48,0,B1,A0
49,0,A1,A0
49,0,B0,A0
50,0,A0,A0
50,0,B1,A0
51,0,A1,A0
51,0,B0,A0
52,0,A0,A0
52,0,B1,A0
53,0,A1,A0
53,0,B0,A0
54,0,A0,A0
54,0,B1,A0
55,0,A1,A0
55,0,B0,A0
56,0,A1,A0
56,0,B0,A0
57,0,A0,A0
57,0,B1,A0
58,0,A1,A0
58,0,B0,A0
59,0,A1,A0
59,0,B0,A0
60,0,A1,A0
60,0,B0,A0
61,0,A1,A0
61,0,B0,A0
62,0,A0,A0
62,0,B1,A0
63,0,A1,A0
63,0,B0,A0
64,0,A0,A0
64,0,B1,A0
65,0,A1,A0
65,0,B0,A0
66,0,A1,A0
66,0,B0,A0
67,0,A0,A0
67,0,B1,A0
68,0,A0,A0
68,0,B1,A0
69,0,A0,A0
69,0,B1,A0
70,0,A1,A0
70,0,B0,A0
71,0,A0,A0
71,0,B1,A0
72,0,A1,A0
72,0,B0,A0
73,0,A0,A0
73,0,B1,A0
74,0,A0,A0
74,0,B1,A0
75,0,A0,A0
75,0,B1,A0
76,0,A0,A0
76,0,B1,A0
77,0,A1,A0
77,0,B0,A0
78,0,A1,A0
78,0,B0,A0
79,0,A0,A0
79,0,B1,A0
80,0,A0,A0
80,0,B1,A0
81,0,A0,A0
81,0,B1,A0
82,0,A1,A0
82,0,B0,A0
83,0,A1,A0
83,0,B0,A0
84,0,A1,A0
84,0,B0,A0
85,0,A1,A0
85,0,B0,A0
86,0,A1,A0
86,0,B0,A0
87,0,A1,A0
87,0,B0,A0
88,0,A1,A0
88,0,B0,A0
89,0,A0,A0
89,0,B1,A0
90,0,A1,A0
90,0,B0,A0
91,0,A0,A0
91,0,B1,A0
92,0,A1,A0
92,0,B0,A0
93,0,A1,A0
93,0,B0,A0
94,0,A1,A0
94,0,B0,A0
95,0,A0,A0
95,0,B1,A0
96,0,A1,A0
96,0,B0,A0
97,0,A1,A0
97,0,B0,A0
98,0,A1,A0
98,0,B0,A0
99,0,A0,A0
99,0,B1,A0
100,0,A1,A0
100,0,B0,A0
101,0,A1,A0
101,0,B0,A0
102,0,A1,A0
102,0,B0,A0
103,0,A1,A0
103,0,B0,A0
104,0,A1,A0
104,0,B0,A0
105,0,A1,A0
105,0,B0,A0
106,0,A0,A0
106,0,B1,A0
107,0,A1,A0
107,0,B0,A0
108,0,A1,A0
108,0,B0,A0
109,0,A0,A0
109,0,B1,A0
110,0,A1,A0
110,0,B0,A0
111,0,A0,A0
111,0,B1,A0
112,0,A1,A0
112,0,B0,A0
113,0,A1,A0
113,0,B0,A0
114,0,A0,A0
114,0,B1,A0
115,0,A0,A0
115,0,B1,A0
116,0,A0,A0
116,0,B1,A0
117,0,A1,A0
117,0,B0,A0
118,0,A0,A0
118,0,B1,A0
119,0,A0,A0
119,0,B1,A0
120,0,A0,A0
120,0,B1,A0
121,0,A0,A0
121,0,B1,A0
122,0,A1,A0
122,0,B0,A0
123,0,A1,A0
123,0,B0,A0
124,0,A0,A0
124,0,B1,A0
125,0,A0,A0
125,0,B1,A0
126,0,A0,A0
126,0,B1,A0
127,0,A0,A0
127,0,B1,A0
128,0,A1,A0
128,0,B0,A0
129,0,A0,A0
129,0,B1,A0
130,0,A0,A0
130,0,B1,A0
131,0,A0,A0
131,0,B1,A0
132,0,A1,A0
132,0,B0,A0
133,0,A1,A0
133,0,B0,A0
134,0,A0,A0
134,0,B1,A0
135,0,A0,A0
135,0,B1,A0
136,0,A0,A0
136,0,B1,A0
137,0,A0,A0
137,0,B1,A0
138,0,A0,A0
138,0,B1,A0
139,0,A1,A0
139,0,B0,A0
140,0,A1,A0
140,0,B0,A0
141,0,A1,A0
141,0,B0,A0
142,0,A1,A0
142,0,B0,A0
143,0,A1,A0
143,0,B0,A0
144,0,A1,A0
144,0,B0,A0
145,0,A1,A0
145,0,B0,A0
146,0,A0,A0
146,0,B1,A0
147,0,A0,A0
147,0,B1,A0
148,0,A1,A0
148,0,B0,A0
149,0,A1,A0
149,0,B0,A0
150,0,A0,A0
150,0,B1,A0
151,0,A0,A0
151,0,B1,A0
152,0,A0,A0
152,0,B1,A0
153,0,A0,A0
153,0,B1,A0
154,0,A0,A0
154,0,B1,A0
155,0,A0,A0
155,0,B1,A0
156,0,A0,A0
156,0,B1,A0
157,0,A1,A0
157,0,B0,A0
158,0,A0,A0
158,0,B1,A0
159,0,A0,A0
159,0,B1,A0
160,0,A0,A0
160,0,B1,A0
161,0,A1,A0
161,0,B0,A0
162,0,A0,A0
162,0,B1,A0
163,0,A1,A0
163,0,B0,A0
164,0,A1,A0
164,0,B0,A0
165,0,A1,A0
165,0,B0,A0
166,0,A1,A0
166,0,B0,A0
167,0,A1,A0
167,0,B0,A0
168,0,A1,A0
168,0,B0,A0
169,0,A0,A0
169,0,B1,A0
170,0,A1,A0
170,0,B0,A0
171,0,A1,A0
171,0,B0,A0
172,0,A1,A0
172,0,B0,A0
173,0,A0,A0
173,0,B1,A0
174,0,A0,A0
174,0,B1,A0
175,0,A1,A0
175,0,B0,A0
176,0,A0,A0
176,0,B1,A0
177,0,A0,A0
177,0,B1,A0
178,0,A0,A0
178,0,B1,A0
179,0,A1,A0
179,0,B0,A0
180,0,A0,A0
180,0,B1,A0
181,0,A1,A0
181,0,B0,A0
182,0,A0,A0
182,0,B1,A0
183,0,A1,A0
183,0,B0,A0
184,0,A1,A0
184,0,B0,A0
185,0,A0,A0
185,0,B1,A0
186,0,A0,A0
186,0,B1,A0
187,0,A1,A0
187,0,B0,A0
188,0,A1,A0
188,0,B0,A0
189,0,A1,A0
189,0,B0,A0
190,0,A0,A0
190,0,B1,A0
191,0,A0,A0
191,0,B1,A0
192,0,A0,A0
192,0,B1,A0
193,0,A0,A0
193,0,B1,A0
194,0,A0,A0
194,0,B1,A0
195,0,A0,A0
195,0,B1,A0
196,0,A0,A0
196,0,B1,A0
197,0,A1,A0
197,0,B0,A0
198,0,A0,A0
198,0,B1,A0
199,0,A1,A0
199,0,B0,A0
200,0,A1,A0
200,0,B0,A0
201,0,A1,A0
201,0,B0,A0
202,0,A1,A0
202,0,B0,A0
203,0,A1,A0
203,0,B0,A0
204,0,A0,A0
204,0,B1,A0
205,0,A0,A0
205,0,B1,A0
206,0,A1,A0
206,0,B0,A0
207,0,A0,A0
207,0,B1,A0
208,0,A0,A0
208,0,B1,A0
209,0,A0,A0
209,0,B1,A0
210,0,A1,A0
210,0,B0,A0
211,0,A1,A0
211,0,B0,A0
212,0,A0,A0
212,0,B1,A0
213,0,A1,A0
213,0,B0,A0
214,0,A1,A0
214,0,B0,A0
215,0,A0,A0
215,0,B1,A0
216,0,A1,A0
216,0,B0,A0
217,0,A1,A0
217,0,B0,A0
218,0,A1,A0
218,0,B0,A0
219,0,A1,A0
219,0,B0,A0
220,0,A1,A0
220,0,B0,A0
221,0,A1,A0
221,0,B0,A0
222,0,A1,A0
222,0,B0,A0
223,0,A1,A0
223,0,B0,A0
224,0,A0,A0
224,0,B1,A0
225,0,A0,A0
225,0,B1,A0
226,0,A0,A0
226,0,B1,A0
227,0,A0,A0
227,0,B1,A0
228,0,A0,A0
228,0,B1,A0
229,0,A1,A0
229,0,B0,A0
230,0,A1,A0
230,0,B0,A0
231,0,A1,A0
231,0,B0,A0
232,0,A0,A0
232,0,B1,A0
233,0,A1,A0
233,0,B0,A0
234,0,A1,A0
234,0,B0,A0
235,0,A1,A0
235,0,B0,A0
236,0,A0,A0
236,0,B1,A0
237,0,A0,A0
237,0,B1,A0
238,0,A1,A0
238,0,B0,A0
239,0,A0,A0
239,0,B1,A0
240,0,A0,A0
240,0,B1,A0
241,0,A0,A0
241,0,B1,A0
242,0,A0,A0
242,0,B1,A0
243,0,A1,A0
243,0,B0,A0
244,0,A1,A0
244,0,B0,A0
245,0,A0,A0
245,0,B1,A0
246,0,A1,A0
246,0,B0,A0
247,0,A1,A0
247,0,B0,A0
248,0,A0,A0
248,0,B1,A0
249,0,A1,A0
249,0,B0,A0
250,0,A0,A0
250,0,B1,A0
251,0,A1,A0
251,0,B0,A0
252,0,A0,A0
252,0,B1,A0
253,0,A0,A0
253,0,B1,A0
254,0,A0,A0
254,0,B1,A0
255,0,A1,A0
255,0,B0,A0
