加工顺序,component,area_pixels,center_s_um,center_xi_um,width_perpendicular_um,length_parallel_um,depth_p95_um,depth_max_um,volume_um3
13,1,33004,5.644416523e-14,1.322910123e-15,15.592158,214.2715159,15.08269122,18.70565406,21780.60362
19,1,28287,8.030233447e-15,-1.346867768e-15,13.75967847,212.8998906,15.71436439,23.42647295,18011.16768
33,3,1742,-88.65435066,0.09368609622,9.373781461,22.89257733,7.905542677,11.17676309,497.9249885
33,2,7396,-31.33693698,-0.02907723729,10.42545897,84.18167153,4.426765129,5.740406324,1675.266949
33,1,6410,67.78473999,0.001447345808,8.91156358,81.63790805,4.598168973,6.619501564,1425.703652
34,1,21052,-2.539537344e-14,-5.707138978e-15,11.3236008,211.2056906,6.483643201,11.0831373,5695.284671
43,3,579,-97.53164987,-0.5672710872,6.449739768,10.03451555,3.109076877,3.542468321,84.45960126
43,2,11224,-17.69938729,0.02622275377,10.88913023,132.1426544,8.960000006,14.12749849,3454.03823
43,1,3589,74.7553873,-0.0459737224,8.888448813,47.0925515,7.190325963,12.04509639,927.9845519
44,4,2902,-81.84121243,-0.02377646865,7.303792499,42.90624017,3.556932582,6.100473913,461.351571
44,3,7365,-4.010917241,-0.01673465608,7.782544126,115.1009991,3.670590906,5.147975388,1243.809253
44,2,2870,79.35723772,0.07698793547,7.968832499,42.04978086,4.332509151,6.540503176,535.4630146
44,1,22,113.5466965,-4.228028961,1.953093608,1.68214482,1.720998162,1.971591522,2.232756883
48,3,2766,-82.43738123,0.06015002255,7.948230766,38.47930686,7.629249032,11.80511695,723.9499642
48,1,9527,-3.083246276,-0.03256432163,12.30037521,115.9543911,8.083582955,12.71085566,2345.160944
48,2,3498,79.11445673,0.03880918991,9.595915678,46.26428774,7.269238258,12.61364725,845.7524795
51,1,20763,1.629146381e-15,-2.507358102e-15,11.3670861,210.9299982,6.505654831,12.3334751,5548.683455
60,4,1468,-100.9206302,0.08256888507,9.507325375,20.07448325,10.00272389,11.6244554,481.6469037
60,6,111,-79.73254118,-1.865505951,4.717964725,6.151662348,2.124363806,2.452067158,15.9716039
60,5,90,65.17482165,-1.615185678,3.053224328,5.025173996,2.01884314,2.161072635,12.5184783
60,3,54,73.47779228,-2.15410679,3.050844125,4.18685329,2.185091659,2.338545001,8.0149199
60,2,57,81.61605832,-2.422160528,2.536394111,3.901065846,2.160664776,2.180450843,8.313283152
60,1,1617,93.62899218,0.0933323867,10.60049089,16.99746706,8.875643183,11.056137,510.5070439
68,1,29680,1.671392775e-14,2.203496334e-16,16.87898471,212.6217507,10.66671779,15.48597129,12980.24168
94,1,20704,2.325773796e-14,-2.05033148e-15,11.66946045,207.0256435,10.10765067,16.66619548,8550.770796
95,1,12533,-0.2173982176,-0.0001685360512,9.80348389,195.1079013,3.199064246,7.066614732,2053.593362
95,2,28,107.4022988,0.08326268505,2.246807479,2.223260415,2.259115566,2.291158155,4.156778223
101,1,21223,-2.188300392e-14,1.353440998e-16,12.35581941,199.8238605,11.67781431,18.77976789,9914.124331
104,2,2201,-93.11863488,-0.4819102256,8.983850836,29.55977909,7.2219712,11.21929681,549.946097
104,1,15811,6.622934612,0.03427520084,10.03042615,169.7240438,11.49597371,14.03478105,7732.256592
116,1,24888,1.378636728e-14,2.829975002e-15,13.96518561,205.1502588,15.14843132,18.12924251,13113.84992
