加工顺序,脉宽_fs,频率_kHz,重复扫描次数,速度_mm/s,实际功率_W,理论线长_um,单脉冲能量_mJ,理论脉冲间距_um,理论单遍脉冲数估计,累计线能量密度_J_mm,单线输入能量_J,cag_timestamp,cag_original_filename,status,processing_mode,W_line_um,D_line_um,D_max_um,sigma_W_um,sigma_D_um,A_cs_median_um2,V_rem_um3,V_rem_per_visible_length_um2,C_shape,V_pile_um3,V_pile_V_rem_ratio,N_crater_components,measured_crater_spacing_um,C_continuity,sigma_ref_um,RMSE_plane_um,threshold_k,threshold_um,valid_pixel_ratio,reference_pixel_ratio,line_detection_confidence,visible_length_ratio,edge_clipped,n_valid_profiles,n_signal_pixels,n_components_all,n_components_selected,largest_component_fraction,line_orientation_deg,height_grid_width,height_grid_height,dx_um,dy_um,z_step_um,doe_cag_mapping,threshold_W_relative_range,threshold_D_relative_range,threshold_mode_count,relative_sigma_W,relative_sigma_D,qc_status,qc_flags
13,223,10,5,25,5.333,200,0.5333,2.5,80,1.0666,0.21332,2026-05-28 12:50:11,C:\Users\USER1\Documents\MeasureData20260528125011.vk4,ok,continuous,12.40129415,14.28361622,18.70565406,0.4578350299,0.6953414669,107.7135345,21780.60362,108.9030181,0.6080861266,1.949380797,8.950077011e-05,1,,1,0.227826273,0.2410239586,4,0.911305092,1,0.4641723633,1,1,0,141,33004,47,1,1,-0.5610435658,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,0.04685676448,0.003613550509,1,0.03691832677,0.0486810522,pass,
19,500,10,5,5,5.333,200,0.5333,0.5,400,5.333,1.0666,2026-05-28 12:54:02,C:\Users\USER1\Documents\MeasureData20260528125402.vk4,ok,continuous,10.69394498,13.78145136,23.42647295,0.4644930339,2.694942632,88.87607311,18011.16768,90.05583838,0.6030481028,30.45359688,0.001690817465,1,,1,0.2691359845,0.2754187601,4,1.076543938,1,0.5324707031,1,1,0,141,28287,24,1,1,-0.59015025,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,0.05997280332,0.003882400689,1,0.04343514341,0.1955485356,pass,
33,1000,5,1,5,5.333,200,1.0666,1,200,1.0666,0.21332,2026-05-28 13:02:41,C:\Users\USER1\Documents\MeasureData20260528130241.vk4,ok,continuous,6.82553984,4.111609424,11.17676309,0.6924713909,0.3508336896,20.17057833,3598.895589,17.99447794,0.7187361547,52.29958721,0.01453212129,3,,0.901455395,0.2389027288,0.2659230889,4,0.9556109152,1,0.6917266846,1,1,0,128,15548,40,3,0.4756881914,-0.5280977031,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,0.1140703349,0.006590785847,1,0.101452985,0.08532758183,pass,
34,223,40,2,10,5.333,200,0.133325,0.25,800,1.0666,0.21332,2026-05-28 13:03:26,C:\Users\USER1\Documents\MeasureData20260528130326.vk4,ok,continuous,8.165982274,5.234629763,11.0831373,0.832321775,1.425496938,28.31626923,5695.284671,28.47642336,0.6624324976,10.64791449,0.001869601803,1,,1,0.2501360823,0.263937134,4,1.000544329,1,0.625793457,1,1,0,141,21052,33,1,1,-0.5771421397,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,0.1137925134,0.005623673199,1,0.1019254937,0.2723204892,pass,
43,4000,40,4,15,5.333,200,0.133325,0.375,533.3333333,1.422133333,0.2844266667,2026-05-28 13:08:45,C:\Users\USER1\Documents\MeasureData20260528130845.vk4,ok,continuous,7.030369492,6.1942986,14.12749849,0.7411032514,3.417318567,25.54770745,4466.482383,22.72145488,0.5866534739,6.129428642,0.001372316762,3,,0.934894235,0.2355600688,0.2493295211,4,0.9422402754,1,0.6989593506,1,0.9828777264,0,139,15392,63,3,0.7292099792,-0.769806167,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,0.1253447794,0.01916899828,1,0.1054145521,0.5516877354,review,high_depth_variability
44,2000,40,1,20,5.333,200,0.133325,0.5,400,0.26665,0.05333,2026-05-28 13:09:29,C:\Users\USER1\Documents\MeasureData20260528130929.vk4,ok,continuous,5.166985188,2.958835455,6.540503176,1.081505113,0.8824440984,10.86595975,2242.856596,11.21428298,0.7107388598,13.73596274,0.006124316092,4,,0.98923235,0.2447629526,0.2570003995,4,0.9790518104,1,0.7476196289,1,1,0,138,13159,41,4,0.5596929858,-0.5275034036,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,0.3567398153,0.3052344291,2,0.2093106663,0.2982403421,review,threshold_sensitive
48,4000,10,5,5,5.333,200,0.5333,0.5,400,5.333,1.0666,2026-05-28 13:11:56,C:\Users\USER1\Documents\MeasureData20260528131156.vk4,ok,continuous,6.820349828,3.54283621,12.71085566,0.9659586731,2.636691117,15.96630741,3914.863388,19.57431694,0.6607645894,0.5357068764,0.0001368392261,3,,0.96415322,0.2279209956,0.2397822492,4,0.9116839826,1,0.7051696777,1,1,0,134,15791,69,3,0.6033183459,-0.4416459433,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,0.122961829,0.0572581324,1,0.1416289043,0.7442317288,review,high_depth_variability
51,4000,10,1,25,5.333,200,0.5333,2.5,80,0.21332,0.042664,2026-05-28 13:13:50,C:\Users\USER1\Documents\MeasureData20260528131350.vk4,ok,continuous,7.617774382,4.201333685,12.3334751,0.6460371134,0.3108910373,23.22465865,5548.683455,27.74341727,0.7256614588,29.89295284,0.005387395603,1,,1,0.229537357,0.2358236871,4,0.9181494278,1,0.6439361572,1,1,0,141,20763,24,1,1,-0.5737040998,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,0.1046723395,0.002125972117,1,0.08480654336,0.07399817787,pass,
60,500,2,1,20,5.333,200,2.6665,10,20,0.26665,0.05333,2026-05-28 13:19:13,C:\Users\USER1\Documents\MeasureData20260528131913.vk4,ok,discrete,3.885594527,2.172878217,11.6244554,1.618962741,0.1501499356,,1036.972233,5.184861164,,0,0,6,12.01293386,0.235465165,0.4041359932,0.3931155887,4,1.616543973,1,0.9049682617,0.6541810551,1,0,4,3397,32,6,0.4760082426,-0.4894090119,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1.480686751,3.471247918,1,0.4166576645,0.06910186427,review,low_detection_confidence;discrete_mode_requires_review;threshold_sensitive
68,4000,5,5,25,5.333,200,1.0666,5,40,1.0666,0.21332,2026-05-28 13:23:49,C:\Users\USER1\Documents\MeasureData20260528132349.vk4,ok,continuous,11.27976285,8.042855046,15.48597129,0.5672313335,0.7185452209,59.21049124,12980.24168,64.90120842,0.6526621897,5.882395144,0.0004531807101,1,,1,0.2399475367,0.2623926978,4,0.959790147,1,0.5083465576,0.8,1,1,141,29680,33,1,1,-0.5127203263,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,0.06289226721,0.003634116972,1,0.05028752298,0.08933957119,review,edge_clipped
