加工顺序,threshold_k,status,processing_mode,W_line_um,D_line_um,C_continuity,n_signal_pixels,edge_clipped
13,3,ok,continuous,12.70026854,14.26365066,1,33889,1
13,4,ok,continuous,12.40129415,14.28361622,1,33004,0
13,5,ok,continuous,12.11918402,14.31526523,1,32282,0
19,3,ok,continuous,11.02564922,13.77844608,1,29164,0
19,4,ok,continuous,10.69394498,13.78145136,1,28287,0
19,5,ok,continuous,10.38430336,13.8319512,1,27452,0
33,3,ok,continuous,7.252527018,4.096547342,0.909815105,16817,0
33,4,ok,continuous,6.82553984,4.111609424,0.901455395,15548,0
33,5,ok,continuous,6.473935403,4.123646079,0.881949405,14336,0
34,3,ok,continuous,8.733600766,5.205191916,1,22563,0
34,4,ok,continuous,8.165982274,5.234629763,1,21052,0
34,5,ok,continuous,7.804373119,5.212862264,1,19785,0
43,3,ok,continuous,7.495364136,6.286128403,0.99480549,17670,0
43,4,ok,continuous,7.030369492,6.1942986,0.934894235,15392,0
43,5,ok,continuous,6.614144023,6.313037099,0.909815105,14170,0
44,3,ok,continuous,5.773493022,2.860236162,0.99201892,14697,0
44,4,ok,continuous,5.166985188,2.958835455,0.98923235,13159,0
44,5,ok,uncertain,7.01025453,3.763374613,0.97251293,11518,0
48,3,ok,continuous,7.276707128,3.511725363,0.976692785,17420,0
48,4,ok,continuous,6.820349828,3.54283621,0.96415322,15791,0
48,5,ok,continuous,6.438064438,3.714581548,0.904241965,14097,0
51,3,ok,continuous,8.061892007,4.200481963,1,21890,0
51,4,ok,continuous,7.617774382,4.201333685,1,20763,0
51,5,ok,continuous,7.264521741,4.209413881,1,19717,0
60,3,ok,discrete,7.928918486,5.137888693,0.302342845,4607,0
60,4,ok,discrete,3.885594527,2.172878217,0.235465165,3397,0
60,5,ok,discrete,9.638942863,9.715477205,0.10588966,2549,0
68,3,ok,continuous,11.63695299,8.042086119,1,30870,1
68,4,ok,continuous,11.27976285,8.042855046,1,29680,1
68,5,ok,continuous,10.92754313,8.071314795,1,28587,0
94,3,ok,continuous,8.461338843,8.627824323,1,21687,0
94,4,ok,continuous,8.171372811,8.611072622,1,20704,0
94,5,ok,continuous,7.881626116,8.655138381,1,19931,0
95,3,ok,continuous,5.577333561,2.667980987,0.990625635,14166,0
95,4,ok,continuous,5.120009107,2.662934821,0.965546505,12561,0
95,5,ok,continuous,4.590420317,2.678292707,0.959973365,11125,0
101,3,ok,continuous,9.096661946,10.58298611,1,22821,1
101,4,ok,continuous,8.836598212,10.75487777,0.998985345,21223,0
101,5,ok,continuous,8.612589161,10.60187816,0.987839065,20340,0
104,3,ok,continuous,8.035243842,10.91288268,0.979479355,19379,0
104,4,ok,continuous,7.624981347,10.90592704,0.94464723,18012,0
104,5,ok,continuous,7.427096088,10.9309555,0.92514124,16983,0
116,3,ok,continuous,10.64919814,14.95274738,0.99480549,26512,0
116,4,ok,continuous,10.14980427,15.03001169,0.993412205,24888,0
116,5,ok,continuous,9.745876926,14.99484569,0.993412205,23449,0
