加工顺序,脉宽_fs,频率_kHz,重复扫描次数,速度_mm/s,实际功率_W,理论线长_um,单脉冲能量_mJ,理论脉冲间距_um,理论单遍脉冲数估计,累计线能量密度_J_mm,单线输入能量_J,cag_timestamp,cag_original_filename,status,processing_mode,W_line_um,D_line_um,D_max_um,sigma_W_um,sigma_D_um,A_cs_median_um2,V_rem_um3,V_rem_per_visible_length_um2,C_shape,V_pile_um3,V_pile_V_rem_ratio,N_crater_components,measured_crater_spacing_um,C_continuity,sigma_ref_um,RMSE_plane_um,threshold_k,threshold_um,valid_pixel_ratio,reference_pixel_ratio,line_detection_confidence,visible_length_ratio,edge_clipped,n_valid_profiles,n_signal_pixels,n_components_all,n_components_selected,largest_component_fraction,line_orientation_deg,height_grid_width,height_grid_height,dx_um,dy_um,z_step_um,doe_cag_mapping,cone_preprocess_enabled,N_conical_artifacts_repaired,n_conical_pixels_repaired,max_conical_correction_um,cone_noise_second_difference_um,cone_seed_threshold_um,cone_grow_threshold_um,threshold_W_relative_range,threshold_D_relative_range,threshold_mode_count,relative_sigma_W,relative_sigma_D,qc_status,qc_flags
13,223,10,5,25,5.333,200,0.5333,2.5,80,1.0666,0.21332,2026-05-28 12:50:11,C:\Users\USER1\Documents\MeasureData20260528125011.vk4,ok,continuous,12.3482334,14.13557115,18.71599337,0.4594395899,0.5174286657,105.8968945,21371.1357,106.8556785,0.6066874817,1.869559801,8.748060129e-05,1,,1,0.2295269589,0.2413886143,4,0.9181078355,1,0.4672851562,1,1,0,141,32856,45,1,1,-0.5557258241,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,25,2867,13.4540536,0.23825382,1.42952292,0.35738073,0.04650669218,0.0002955338485,1,0.03720690847,0.03660472295,pass,
19,500,10,5,5,5.333,200,0.5333,0.5,400,5.333,1.0666,2026-05-28 12:54:02,C:\Users\USER1\Documents\MeasureData20260528125402.vk4,ok,continuous,10.58562137,11.46656721,22.23141429,0.4369154727,2.018350567,77.14000451,16619.51709,83.09758544,0.6355209668,29.95322606,0.001802292202,1,,1,0.2716336944,0.2794419879,4,1.086534777,1,0.5353240967,1,1,0,141,28101,21,1,1,-0.5833279204,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,42,7009,16.84786973,0.23158212,1.38949272,0.34737318,0.06378151928,0.004532401461,1,0.04127442855,0.1760204716,pass,
33,1000,5,1,5,5.333,200,1.0666,1,200,1.0666,0.21332,2026-05-28 13:02:41,C:\Users\USER1\Documents\MeasureData20260528130241.vk4,ok,continuous,6.811389882,4.061253616,6.782819215,0.6324308443,0.3380210953,19.79932137,3359.974014,16.79987007,0.7157386239,53.03254594,0.01578361788,3,,0.90284868,0.2345304597,0.2607107822,4,0.9381218389,1,0.6945343018,1,1,0,129,15536,27,3,0.476184346,-0.5501038805,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,18,3388,7.953452516,0.2431464,1.4588784,0.3647196,0.1077528426,0.004441606074,1,0.09284901544,0.08323072804,pass,
34,223,40,2,10,5.333,200,0.133325,0.25,800,1.0666,0.21332,2026-05-28 13:03:26,C:\Users\USER1\Documents\MeasureData20260528130326.vk4,ok,continuous,8.213538505,4.486124411,8.326995779,0.7149448284,1.400968992,25.34237186,5128.266943,25.64133471,0.6877738326,16.14720109,0.00314866626,1,,1,0.2373003645,0.2538421051,4,0.9492014579,1,0.6254730225,1,1,0,141,21057,45,1,1,-0.6123022752,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,25,6699,9.712784939,0.24492552,1.46955312,0.36738828,0.09796598168,0.02077119809,1,0.08704467971,0.3122893757,pass,
43,4000,40,4,15,5.333,200,0.133325,0.375,533.3333333,1.422133333,0.2844266667,2026-05-28 13:08:45,C:\Users\USER1\Documents\MeasureData20260528130845.vk4,ok,continuous,7.027292945,5.129461529,14.14280861,0.6819439557,2.886767147,22.9306185,4074.479936,22.55514555,0.6361447301,5.765515625,0.001415031051,2,,0.895882255,0.235828589,0.2525217448,4,0.9433143559,1,0.7058105469,1,0.9032262566,0,138,14787,61,2,0.7568810442,-0.7964386657,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,26,4389,8.652012241,0.21453222,1.28719332,0.32179833,0.1265959531,0.02326886133,1,0.09704219834,0.5627817132,review,high_depth_variability
44,2000,40,1,20,5.333,200,0.133325,0.5,400,0.26665,0.05333,2026-05-28 13:09:29,C:\Users\USER1\Documents\MeasureData20260528130929.vk4,ok,continuous,4.91581786,2.436395924,5.728771034,1.634445989,1.141814695,8.750404406,1851.975087,9.259875433,0.7306080906,13.67171768,0.007382236285,5,,0.951613655,0.2444272143,0.2577443359,4,0.9777088571,1,0.756439209,0.9988721892,1,0,138,11899,37,5,0.5638288932,-0.5678700322,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,24,4633,5.443395889,0.21060333,1.26361998,0.315904995,0.3053754637,0.2272316867,2,0.3324870928,0.4686490744,review,threshold_sensitive
48,4000,10,5,5,5.333,200,0.5333,0.5,400,5.333,1.0666,2026-05-28 13:11:56,C:\Users\USER1\Documents\MeasureData20260528131156.vk4,ok,continuous,6.876259885,2.699256954,11.81284873,0.982376344,1.710183532,12.79046003,3103.571333,15.51785667,0.6891117481,0.324848557,0.0001046692736,4,,0.94464723,0.2230907235,0.2360441118,4,0.892362894,1,0.7102508545,1,1,0,129,15278,56,4,0.4853383951,-0.455277234,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,28,6759,12.03322915,0.2231313,1.3387878,0.33469695,0.117175369,0.09257105339,1,0.1428649237,0.6335756698,review,high_depth_variability
51,4000,10,1,25,5.333,200,0.5333,2.5,80,0.21332,0.042664,2026-05-28 13:13:50,C:\Users\USER1\Documents\MeasureData20260528131350.vk4,ok,continuous,7.648950541,4.166671191,12.33377491,0.6183950493,0.3397807082,22.77971291,5316.986437,26.58493219,0.714754937,27.58840322,0.005188729282,1,,1,0.2260829755,0.2323856591,4,0.9043319019,1,0.6436462402,1,1,0,141,20679,21,1,1,-0.5739468042,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,13,2821,7.41576484,0.25411764,1.52470584,0.38117646,0.1029860402,0.002277666885,1,0.08084704509,0.08154728143,pass,
60,500,2,1,20,5.333,200,2.6665,10,20,0.26665,0.05333,2026-05-28 13:19:13,C:\Users\USER1\Documents\MeasureData20260528131913.vk4,ok,discrete,4.158728122,2.19574383,4.953972457,2.022135068,0.1712887926,,672.9865151,3.468571755,,0,0,6,11.34540313,0.207599465,0.4024614835,0.3888907197,4,1.609845934,1,0.9059448242,0.6689525189,0.9701205031,0,7,3327,34,6,0.4839194469,-0.5738430707,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,10,3155,8.45811129,0.25441416,1.52648496,0.38162124,1.087434382,0.8485606769,1,0.4862388232,0.07800946098,review,low_detection_confidence;discrete_mode_requires_review;threshold_sensitive
68,4000,5,5,25,5.333,200,1.0666,5,40,1.0666,0.21332,2026-05-28 13:23:49,C:\Users\USER1\Documents\MeasureData20260528132349.vk4,ok,continuous,11.2185533,7.88479963,15.49336235,0.59513235,0.8480514283,56.60223556,12510.80591,62.55402955,0.6398910963,6.173805305,0.0004934778262,1,,1,0.2381239095,0.2608445966,4,0.952495638,1,0.5102081299,1,1,0,141,29577,26,1,1,-0.4972329466,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,23,4044,8.673805629,0.24966984,1.49801904,0.37450476,0.07013655464,0.002952070629,1,0.05304893902,0.1075552288,pass,
