加工顺序,component,area_pixels,center_s_um,center_xi_um,width_perpendicular_um,length_parallel_um,depth_p95_um,depth_max_um,volume_um3
13,1,32872,-1.218557914e-13,-5.414490731e-15,15.58513626,214.2717369,14.71389698,18.70737572,21364.67894
19,1,28114,-5.223370413e-14,-2.62698805e-15,13.75772234,212.8999863,14.80772764,22.21765771,16613.85691
33,2,7370,-34.00366795,-0.01570214362,10.42483777,84.18154313,4.359987476,5.740780912,1639.067082
34,1,20876,4.212083329e-14,2.06696472e-15,11.46152698,211.2036153,5.887927318,11.08249813,5150.677342
43,2,11153,-20.61794482,0.008761174219,10.88994123,132.1445073,8.603665688,14.13583654,3174.120576
44,3,6849,-9.515847969,-0.02231645933,7.754775167,115.10164,3.555428171,5.145669244,1053.62225
48,2,7323,13.0190325,0.02019393269,9.493645309,87.78304937,5.278221105,11.3630679,1342.987497
51,1,20636,0,-3.139874787e-16,10.79144601,210.9301878,5.845471774,12.33339356,5313.731128
60,6,117,-64.52020646,-1.828246767,4.990101592,6.155631888,2.127267243,2.45492185,16.7477469
68,1,29611,3.468046917e-14,1.093360494e-14,15.47993045,213.1742591,10.21627515,15.49186721,12511.41215
94,1,20599,4.710323126e-15,-1.230479918e-15,11.49539155,207.0257735,9.377217153,16.66723653,7676.43096
95,1,12418,-0.2294711096,-0.0002375101737,9.804840737,195.1080545,2.955263193,3.938621071,1918.431352
101,1,21177,-1.924050632e-14,2.359968354e-15,11.91213117,199.8254921,11.49268333,18.78475659,9396.44458
104,1,15632,5.612188094,0.02141891587,10.03578926,169.724353,11.40130506,14.03393303,7520.281846
116,1,24682,8.458069435e-15,-1.365625794e-15,13.9695386,205.1509939,15.11113704,18.12949246,12825.07925
