加工顺序,脉宽_fs,频率_kHz,重复扫描次数,速度_mm/s,实际功率_W,理论线长_um,单脉冲能量_mJ,理论脉冲间距_um,理论单遍脉冲数估计,累计线能量密度_J_mm,单线输入能量_J,cag_timestamp,cag_original_filename,status,processing_mode,W_line_um,D_line_um,D_max_um,sigma_W_um,sigma_D_um,A_cs_median_um2,V_rem_um3,V_rem_full_detected_um3,V_rem_per_visible_length_um2,C_shape,V_pile_um3,V_pile_V_rem_ratio,N_crater_components,measured_crater_spacing_um,C_continuity,sigma_ref_um,RMSE_plane_um,threshold_k,threshold_um,valid_pixel_ratio,reference_pixel_ratio,line_detection_confidence,visible_length_ratio,edge_clipped,n_valid_profiles,n_signal_pixels,n_signal_pixels_full_detected,n_components_all,n_components_selected,largest_component_fraction,line_orientation_deg,height_grid_width,height_grid_height,dx_um,dy_um,z_step_um,doe_cag_mapping,cone_preprocess_enabled,N_conical_artifacts_repaired,n_conical_pixels_repaired,max_conical_correction_um,cone_noise_second_difference_um,cone_seed_threshold_um,cone_grow_threshold_um,cone_repair_restricted_to_cut_corridor,cut_corridor_pixel_ratio,cut_corridor_row_low,cut_corridor_row_high,cut_corridor_col_low,cut_corridor_col_high,stable_region_status,stable_s_start_um,stable_s_end_um,effective_stable_length_um,stable_reference_depth_um,stable_depth_sigma_core_um,stable_depth_tolerance_um,threshold_W_relative_range,threshold_D_relative_range,threshold_mode_count,relative_sigma_W,relative_sigma_D,qc_status,qc_flags
13,223,10,5,25,5.333,200,0.5333,2.5,80,1.0666,0.21332,2026-05-28 12:50:11,C:\Users\USER1\Documents\MeasureData20260528125011.vk4,ok,continuous,12.3552264,14.15741647,16.62829244,0.4870027904,0.5209803119,105.9648767,15242.8171,21364.67894,102.9920074,0.6057971439,1.676994761,0.0001100186895,1,,1,0.2275780904,0.2415429015,4,0.9103123616,1,0.4659576416,1,1,0,149,23003,32872,47,1,1,-0.5562546051,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,25,2497,13.4540536,0.23825382,1.42952292,0.35738073,1,0.7080078125,0,63,204,928,adaptive,-76,72,148,13.93717201,0.2810415059,1.672460642,0.04607285221,0.0008123806716,1,0.03941674356,0.03679910899,pass,
19,500,10,5,5,5.333,200,0.5333,0.5,400,5.333,1.0666,2026-05-28 12:54:02,C:\Users\USER1\Documents\MeasureData20260528125402.vk4,ok,continuous,10.66857789,12.01581755,22.21765771,0.5611326466,2.119816347,79.6477069,16320.26886,16613.85691,81.60134432,0.6213172611,30.58447775,0.001874018008,1,,1,0.2682410919,0.2755331356,4,1.072964368,1,0.5340270996,1,1,0,201,26957,28114,22,1,1,-0.5791333822,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,40,6336,16.61759614,0.23158212,1.38949272,0.34737318,1,0.6425170898,6,63,146,871,adaptive,-100,100,200,11.45490944,2.569629131,7.708887392,0.06105075765,0.00168753314,1,0.05259676149,0.1764188194,pass,
33,1000,5,1,5,5.333,200,1.0666,1,200,1.0666,0.21332,2026-05-28 13:02:41,C:\Users\USER1\Documents\MeasureData20260528130241.vk4,ok,continuous,7.042298517,4.116033167,5.740780912,0.7567182497,0.2684301758,20.49830772,1591.929666,3457.480852,20.15100843,0.7071714391,0.1368863972,8.598771672e-05,1,,0.901455395,0.2391988128,0.2661805132,4,0.9567952512,1,0.692855835,1,1,0,80,7049,15475,38,3,0.4762520194,-0.5252381684,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,8,1186,7.779855258,0.2431464,1.4588784,0.3647196,1,0.476348877,13,55,10,735,adaptive,-73,6,79,4.043908346,0.2669756454,0.8009269362,0.1187949062,0.001139780485,1,0.1074533049,0.06521574654,pass,
34,223,40,2,10,5.333,200,0.133325,0.25,800,1.0666,0.21332,2026-05-28 13:03:26,C:\Users\USER1\Documents\MeasureData20260528130326.vk4,ok,continuous,8.174824188,4.68758945,8.30381722,0.78207486,1.377888206,25.88798089,5015.75225,5150.677342,25.07876125,0.6755697424,10.62820587,0.002118965479,1,,1,0.2504464111,0.2643658838,4,1.001785644,1,0.6280517578,1,1,0,201,20178,20876,33,1,1,-0.6202012436,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,21,4662,5.447058767,0.24492552,1.46955312,0.36738828,1,0.5206604004,10,56,111,836,adaptive,-100,100,200,4.766231816,1.246200949,3.738602848,0.1068012188,0.02119684059,1,0.09566870699,0.2939438747,pass,
43,4000,40,4,15,5.333,200,0.133325,0.375,533.3333333,1.422133333,0.2844266667,2026-05-28 13:08:45,C:\Users\USER1\Documents\MeasureData20260528130845.vk4,ok,continuous,7.084013188,4.850861568,12.95890827,0.6836029805,2.512501165,22.91068282,2651.010387,4063.668149,25.00953195,0.6667143317,4.526826309,0.001707585278,1,,0.895882255,0.2360965559,0.2519585425,4,0.9443862237,1,0.7012786865,1,0.9032276411,0,107,9355,14745,60,2,0.7563919973,-0.8002421263,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,21,2969,9.027059131,0.21453222,1.28719332,0.32179833,1,0.5206604004,16,62,101,826,adaptive,-61,45,106,4.585961502,1.860731961,5.582195882,0.1268409732,0.007988013143,1,0.0964993941,0.5179494672,review,high_depth_variability
44,2000,40,1,20,5.333,200,0.133325,0.5,400,0.26665,0.05333,2026-05-28 13:09:29,C:\Users\USER1\Documents\MeasureData20260528130929.vk4,ok,continuous,4.877285799,2.239736876,5.145669244,1.434575817,1.021634195,7.970973809,1052.686148,1881.527238,9.23408902,0.7296862735,5.784785834,0.005495261663,1,,0.95300694,0.2458704309,0.2589808584,4,0.9834817237,1,0.75390625,0.9688296793,1,0,115,6838,12078,44,5,0.5670640835,-0.559718919,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,19,3812,5.443739073,0.21060333,1.26361998,0.315904995,1,0.3871917725,15,49,186,910,adaptive,-62,52,114,2.563278698,1.140419374,3.421258123,0.1423805339,0.3670208424,2,0.2941340484,0.4561402753,review,threshold_sensitive
48,4000,10,5,5,5.333,200,0.5333,0.5,400,5.333,1.0666,2026-05-28 13:11:56,C:\Users\USER1\Documents\MeasureData20260528131156.vk4,ok,continuous,6.918960685,2.672420567,11.3630679,0.9321498226,1.486959914,12.66486076,1342.182033,3093.628098,15.42737969,0.6849435037,0.02209463168,1.646172511e-05,1,,0.94464723,0.2269282454,0.2394364449,4,0.9077129816,1,0.7113189697,1,1,0,88,7314,15064,67,4,0.486125863,-0.4552563474,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,22,5430,12.07395086,0.2231313,1.3387878,0.33469695,1,0.5428161621,6,54,130,855,adaptive,-32,55,87,2.555289584,1.330808993,3.992426978,0.1341639589,0.1009208738,1,0.1347239658,0.5564093961,review,high_depth_variability
51,4000,10,1,25,5.333,200,0.5333,2.5,80,0.21332,0.042664,2026-05-28 13:13:50,C:\Users\USER1\Documents\MeasureData20260528131350.vk4,ok,continuous,7.518035264,4.093545864,5.126169618,0.6058516207,0.252133466,22.20668971,2587.175511,5313.731128,22.1126112,0.7215722205,27.31189229,0.01055664456,1,,1,0.2293441716,0.2355636385,4,0.9173766864,1,0.6452331543,1,1,0,118,11178,20636,24,1,1,-0.5691389955,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,11,2209,7.34856589,0.25411764,1.52470584,0.38117646,1,0.5641937256,6,56,141,865,adaptive,-57,60,117,4.037651819,0.2429513643,0.7288540929,0.1106776712,0.004663225501,1,0.08058642975,0.06159292564,pass,
60,500,2,1,20,5.333,200,2.6665,10,20,0.26665,0.05333,2026-05-28 13:19:13,C:\Users\USER1\Documents\MeasureData20260528131913.vk4,ok,discrete,4.990101592,2.127267243,2.45492185,0,0,,16.7477469,900.1257874,0.1196267636,,0,0,1,,0.20341961,0.3995821364,0.3888353424,4,1.598328546,1,0.9046020508,0.6563305356,0.9663735712,0,5,117,3444,34,6,0.4706736353,-0.5821240805,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,3,1067,7.514515747,0.25441416,1.52648496,0.38162124,1,0.4431152344,21,60,149,874,fallback_fixed_central_fraction,-70,70,140,1.800531747,0.1187579876,0.3562739628,0.875071657,2.484768944,1,0,0,review,low_detection_confidence;discrete_mode_requires_review;stable_region_not_identified;threshold_sensitive
68,4000,5,5,25,5.333,200,1.0666,5,40,1.0666,0.21332,2026-05-28 13:23:49,C:\Users\USER1\Documents\MeasureData20260528132349.vk4,ok,continuous,11.21782812,7.859544268,10.24171163,0.5943150736,0.828660529,56.68234825,7609.808023,12511.41215,54.35577159,0.6428974276,3.134097591,0.0004118497578,1,,1,0.2380494135,0.2609686751,4,0.9521976539,1,0.5093231201,1,1,0,141,19510,29611,30,1,1,-0.4973956528,1024,64,0.278657,0.278657,0.0001,confirmed: 加工顺序 equals CAG Path,1,20,3885,8.768250679,0.24966984,1.49801904,0.37450476,1,0.6858825684,2,63,143,867,fallback_fixed_central_fraction,-70,70,140,7.425395539,0.4018721514,1.205616454,0.06682650484,0.005664491852,1,0.05297951325,0.1054336614,review,stable_region_not_identified
