加工顺序,xi_um,median_depth_um
13,-11.32231805,0.08549672354
13,-10.9997454,0.08549672354
13,-10.67717274,0.08549672354
13,-10.35460009,0.08463903129
13,-10.03202743,0.08916742187
13,-9.709454779,0.09485248437
13,-9.386882125,0.09290398426
13,-9.064309471,0.08230460561
13,-8.741736816,0.07147359693
13,-8.419164162,0.08352535151
13,-8.096591508,0.08738730469
13,-7.774018854,0.1169605569
13,-7.451446199,0.1842216316
13,-7.128873545,0.3233972133
13,-6.806300891,0.6636913876
13,-6.483728237,1.163481541
13,-6.161155582,1.678583934
13,-5.838582928,2.37661874
13,-5.516010274,2.925890508
13,-5.19343762,3.626643843
13,-4.870864966,4.223606291
13,-4.548292311,5.013539118
13,-4.225719657,5.814210089
13,-3.903147003,6.534920716
13,-3.580574349,7.279406257
13,-3.258001694,7.978344334
13,-2.93542904,8.539307979
13,-2.612856386,9.27548104
13,-2.290283732,9.836478773
13,-1.967711077,10.53589688
13,-1.645138423,11.11174907
13,-1.322565769,11.7461364
13,-0.9999931146,12.30770391
13,-0.6774204604,12.83132047
13,-0.3548478061,13.36887926
13,-0.03227515188,13.67304658
13,0.2902975024,13.91477969
13,0.6128701566,14.08500398
13,0.9354428109,14.12286129
13,1.258015465,14.15085149
13,1.580588119,13.99963724
13,1.903160774,13.80051367
13,2.225733428,13.30529297
13,2.548306082,12.51630706
13,2.870878736,11.43459756
13,3.193451391,10.33848746
13,3.516024045,9.000228509
13,3.838596699,7.761145472
13,4.161169353,6.450302279
13,4.483742008,5.238488569
13,4.806314662,3.94483888
13,5.128887316,2.823840779
13,5.45145997,1.681826272
13,5.774032624,0.8314882879
13,6.096605279,0.2826055549
13,6.419177933,0.1912283601
13,6.741750587,0.1560621287
13,7.064323241,0.1278192781
13,7.386895896,0.08572563001
13,7.70946855,0.1004190061
13,8.032041204,0.09016298992
13,8.354613858,0.09386996317
13,8.677186513,0.1033803206
13,8.999759167,0.1033803206
19,-10.48354581,0.09323159568
19,-10.15916753,0.09323159568
19,-9.834789246,0.08952052773
19,-9.510410961,0.07731154171
19,-9.186032677,0.08340610796
19,-8.861654393,0.08281762235
19,-8.537276108,0.06500098058
19,-8.212897824,0.0699197946
19,-7.888519539,0.06346872095
19,-7.564141255,0.06238209465
19,-7.23976297,0.06983370127
19,-6.915384686,0.02525410744
19,-6.591006401,0.09293567058
19,-6.266628117,0.1231810459
19,-5.942249833,0.3425868608
19,-5.617871548,0.7975060925
19,-5.293493264,1.329221422
19,-4.969114979,1.918370049
19,-4.644736695,2.802407247
19,-4.32035841,3.82402186
19,-3.995980126,4.752318632
19,-3.671601842,5.653277889
19,-3.347223557,6.599753127
19,-3.022845273,7.424349186
19,-2.698466988,8.362212964
19,-2.374088704,9.299500845
19,-2.049710419,10.09012881
19,-1.725332135,10.63421391
19,-1.40095385,11.04306182
19,-1.076575566,11.27804004
19,-0.7521972816,11.40454317
19,-0.4278189972,11.57999997
19,-0.1034407127,11.58159773
19,0.2209375717,11.52688049
19,0.5453158561,11.23154375
19,0.8696941406,10.97120794
19,1.194072425,10.69350359
19,1.518450709,10.04014911
19,1.842828994,9.214465407
19,2.167207278,8.715400872
19,2.491585563,8.223845852
19,2.815963847,7.775505568
19,3.140342132,7.094458035
19,3.464720416,6.217961402
19,3.7890987,5.205542223
19,4.113476985,4.214830725
19,4.437855269,3.168638955
19,4.762233554,2.217581823
19,5.086611838,1.427939592
19,5.410990123,0.8395827687
19,5.735368407,0.3631720791
19,6.059746692,0.1973744544
19,6.384124976,0.1505216891
19,6.70850326,0.1214853771
19,7.032881545,0.08875516525
19,7.357259829,0.08631714446
19,7.681638114,0.09423925412
19,8.006016398,0.09095642886
19,8.330394683,0.07879107024
19,8.654772967,0.07627925996
19,8.979151251,0.07627925996
19,9.303529536,0.07517813656
19,9.62790782,0.07627925996
19,9.952286105,0.07627925996
33,-9.774085179,0.04485445021
33,-9.453960475,0.04485445021
33,-9.13383577,0.04485445021
33,-8.813711065,0.04903313586
33,-8.493586361,0.06962987756
33,-8.173461656,0.07929743995
33,-7.853336951,0.08604076167
33,-7.533212247,0.08166112748
33,-7.213087542,0.09238434446
33,-6.892962837,0.06375159159
33,-6.572838132,0.05621546134
33,-6.252713428,0.05921521095
33,-5.932588723,0.05674171289
33,-5.612464018,0.09263830744
33,-5.292339314,0.05018288913
33,-4.972214609,0.06623019963
33,-4.652089904,0.09106024521
33,-4.3319652,0.1513880944
33,-4.011840495,0.3577296312
33,-3.69171579,0.721769131
33,-3.371591086,1.123489181
33,-3.051466381,1.591523071
33,-2.731341676,2.011685253
33,-2.411216972,2.445816534
33,-2.091092267,2.980873094
33,-1.770967562,3.475075084
33,-1.450842858,3.809584669
33,-1.130718153,3.889823607
33,-0.8105934483,4.038756654
33,-0.4904687436,4.118889874
33,-0.1703440389,4.004828263
33,0.1497806658,3.911847098
33,0.4699053705,3.832002551
33,0.7900300751,3.72815348
33,1.11015478,3.500060162
33,1.430279484,3.25769179
33,1.750404189,3.007388174
33,2.070528894,2.866945844
33,2.390653599,2.512880905
33,2.710778303,2.049661693
33,3.030903008,1.647340764
33,3.351027713,1.152701016
33,3.671152417,0.866401203
33,3.991277122,0.5847452337
33,4.311401827,0.4188059497
33,4.631526531,0.2584611443
33,4.951651236,0.1708671243
33,5.271775941,0.0996078579
33,5.591900645,0.1009550685
33,5.91202535,0.1091742985
33,6.232150055,0.09187802991
33,6.552274759,0.1163149919
33,6.872399464,0.1263875681
33,7.192524169,0.1476366004
33,7.512648873,0.1142251007
33,7.832773578,0.08300893189
33,8.152898283,0.08446058228
33,8.473022987,0.09153068243
33,8.793147692,0.09721987903
33,9.113272397,0.0892988239
33,9.433397101,0.0892988239
33,9.753521806,0.0892988239
33,10.07364651,0.0892988239
33,10.39377122,0.0892988239
34,-10.46195582,-0.005989442682
34,-10.13433653,-0.005989442682
34,-9.806717229,-0.009492236059
34,-9.479097932,-0.0007070778663
34,-9.151478635,0.006916918642
34,-8.823859339,0.007201824548
34,-8.496240042,0.004647287214
34,-8.168620745,0.0005823332314
34,-7.841001448,0.006933700388
34,-7.513382152,-0.01085168535
34,-7.185762855,-0.005735761396
34,-6.858143558,-0.006130997533
34,-6.530524261,-0.002551633833
34,-6.202904965,-0.003787845653
34,-5.875285668,0.0809408747
34,-5.547666371,0.1478458257
34,-5.220047075,0.2729626938
34,-4.892427778,0.494030817
34,-4.564808481,0.7266508773
34,-4.237189184,1.03421282
34,-3.909569888,1.383763179
34,-3.581950591,1.711439946
34,-3.254331294,2.041482069
34,-2.926711997,2.380520226
34,-2.599092701,2.696555811
34,-2.271473404,3.01783014
34,-1.943854107,3.350547134
34,-1.616234811,3.592438374
34,-1.288615514,3.840924309
34,-0.9609962171,3.932508407
34,-0.6333769204,4.07342623
34,-0.3057576237,4.155145198
34,0.02186167305,4.208050727
34,0.3494809698,4.183009338
34,0.6771002665,4.181976837
34,1.004719563,4.115658059
34,1.33233886,4.016384015
34,1.659958157,3.765961801
34,1.987577453,3.640118105
34,2.31519675,3.395309514
34,2.642816047,2.979662797
34,2.970435344,2.50478403
34,3.29805464,2.111696165
34,3.625673937,1.602363396
34,3.953293234,1.052951966
34,4.28091253,0.603162283
34,4.608531827,0.3565578026
34,4.936151124,0.1834375634
34,5.263770421,0.1355341552
34,5.591389717,0.07429925311
34,5.919009014,0.05899638162
34,6.246628311,0.06529983579
34,6.574247608,0.014757068
34,6.901866904,-0.0190501658
34,7.229486201,-0.0227644923
34,7.557105498,-0.004718514316
34,7.884724794,0.01457172228
34,8.212344091,-0.004718514316
34,8.539963388,-0.004718514316
34,8.867582685,0.001857112377
34,9.195201981,-0.005441891896
34,9.522821278,0.01525979517
34,9.850440575,0.006086104648
34,10.17805987,0.006086104648
43,-11.83783767,0.06196926517
43,-11.49601183,0.06196926517
43,-11.154186,0.06196926517
43,-10.81236016,0.06196926517
43,-10.47053432,0.06206368092
43,-10.12870848,0.05969478754
43,-9.786882648,0.05854396839
