加工顺序,threshold_k,status,processing_mode,W_line_um,D_line_um,C_continuity,n_signal_pixels,edge_clipped
13,3,ok,continuous,12.65252522,14.16307875,1,23614,1
13,4,ok,continuous,12.3552264,14.15741647,1,23003,0
13,5,ok,continuous,12.0832847,14.16891768,1,22383,0
19,3,ok,continuous,11.02729162,12.03332685,1,27798,0
19,4,ok,continuous,10.66857789,12.01581755,1,26957,0
19,5,ok,continuous,10.37596686,12.03609464,1,26218,0
33,3,ok,continuous,7.458461082,4.111579426,0.907028535,7544,0
33,4,ok,continuous,7.042298517,4.116033167,0.901455395,7049,0
33,5,ok,continuous,6.62187189,4.1162708,0.887522545,6670,0
34,3,ok,continuous,8.575361567,4.588227363,1,21576,0
34,4,ok,continuous,8.174824188,4.68758945,1,20178,0
34,5,ok,continuous,7.70228038,4.64146853,1,18996,0
43,3,ok,continuous,7.518197607,4.812112822,0.99480549,10007,0
43,4,ok,continuous,7.084013188,4.850861568,0.895882255,9355,0
43,5,ok,continuous,6.61965448,4.835168218,0.87776955,8675,0
44,3,ok,continuous,5.497184254,2.180507988,0.96972636,10336,0
44,4,ok,continuous,4.877285799,2.239736876,0.95300694,6838,0
44,5,ok,uncertain,5.571716355,3.002538103,0.932107665,6693,0
48,3,ok,continuous,7.236176727,2.597853265,0.976692785,10054,0
48,4,ok,continuous,6.918960685,2.672420567,0.94464723,7314,0
48,5,ok,continuous,6.307901571,2.867556284,0.88334269,8899,0
51,3,ok,continuous,7.990766754,4.074456737,1,11806,0
51,4,ok,continuous,7.518035264,4.093545864,1,11178,0
51,5,ok,continuous,7.158688119,4.084918877,1,10641,0
60,3,ok,discrete,6.094818043,2.006565683,0.28144357,302,0
60,4,ok,discrete,4.990101592,2.127267243,0.20341961,117,0
60,5,ok,discrete,9.356798061,7.292333265,0.073844105,2501,0
68,3,ok,continuous,11.59336319,7.872505815,1,20268,0
68,4,ok,continuous,11.21782812,7.859544268,1,19510,0
68,5,ok,continuous,10.84371494,7.904064592,1,18750,0
94,3,ok,continuous,8.324695649,7.276923982,1,20980,0
94,4,ok,continuous,8.050618991,7.216538195,1,20159,0
94,5,ok,continuous,7.729666988,7.109172764,0.996198775,17938,0
95,3,ok,continuous,5.661799247,2.656110874,0.99759206,13446,1
95,4,ok,continuous,5.152190122,2.664964381,0.973906215,12363,0
95,5,ok,continuous,4.591352386,2.680517499,0.962759935,10962,0
101,3,ok,continuous,9.024205855,9.606542471,0.993412205,21998,0
101,4,ok,continuous,8.783854419,9.674450919,0.987839065,20760,0
101,5,ok,continuous,8.464423363,9.577652657,0.982265925,20253,0
104,3,ok,continuous,8.044955636,10.73023167,0.95579351,10733,0
104,4,ok,continuous,7.676357533,10.78840832,0.93350095,10381,0
104,5,ok,continuous,7.412379632,10.74520066,0.92792781,9806,0
116,3,ok,continuous,10.67928829,15.05186554,0.996198775,16262,0
116,4,ok,continuous,10.21300381,15.08383338,0.99480549,12610,0
116,5,ok,continuous,9.745484881,15.13639768,0.993412205,12022,0
