加工顺序,中心X,中心Y,脉宽,频率,线间距,次数,速度
1,-3.3,16.4,36140,2,0.002,4,11
2,-3.3,15.8,36140,2,0.004,5,9
3,-3.3,15.2,36140,2,0.006,3,7
4,-3.3,14.6,36140,2,0.008,3,9
5,-3.3,14,36140,2,0.008,5,7
6,-3.3,13.4,36140,2,0.01,2,7
7,-3.3,12.8,36140,2,0.01,5,5
8,-3.3,12.2,36140,2,0.01,5,11
9,-3.3,11.6,36140,10,0.002,4,3
10,-3.3,11,36140,10,0.004,1,3
11,-3.3,10.4,36140,10,0.006,4,3
12,-3.3,9.8,36140,10,0.008,4,11
13,-3.3,9.2,36140,10,0.008,5,7
14,-3.3,8.6,36140,10,0.01,2,9
15,-3.3,8,36140,50,0.008,1,7
16,-3.3,7.4,36140,50,0.008,4,11
17,-3.3,6.8,36140,100,0.002,2,3
18,-3.3,6.2,36140,100,0.004,1,9
19,-3.3,5.6,36140,100,0.004,1,11
20,-3.3,5,36140,100,0.004,5,3
21,-3.3,4.4,36140,100,0.006,3,3
22,-3.3,3.8,36140,100,0.006,3,11
23,-3.3,3.2,36140,200,0.008,4,3
24,-3.3,2.6,36140,200,0.01,5,11
25,-3.9,2.6,43800,2,0.002,3,7
26,-3.9,3.2,43800,2,0.01,1,11
27,-3.9,3.8,43800,10,0.002,4,7
28,-3.9,4.4,43800,10,0.004,1,9
29,-3.9,5,43800,10,0.004,4,7
30,-3.9,5.6,43800,10,0.006,2,7
31,-3.9,6.2,43800,10,0.008,2,9
32,-3.9,6.8,43800,50,0.004,2,3
33,-3.9,7.4,43800,50,0.004,5,11
34,-3.9,8,43800,50,0.006,3,3
35,-3.9,8.6,43800,50,0.008,1,11
36,-3.9,9.2,43800,50,0.008,5,5
37,-3.9,9.8,43800,50,0.01,3,11
38,-3.9,10.4,43800,100,0.002,2,9
39,-3.9,11,43800,100,0.006,1,3
40,-3.9,11.6,43800,100,0.006,5,5
41,-3.9,12.2,43800,100,0.008,5,3
42,-3.9,12.8,43800,100,0.01,3,9
43,-3.9,13.4,43800,100,0.01,5,11
44,-3.9,14,43800,200,0.006,3,5
45,-3.9,14.6,43800,200,0.006,3,7
46,-3.9,15.2,43800,200,0.008,4,11
47,-3.9,15.8,43800,200,0.01,3,9
48,-3.9,16.4,43800,200,0.01,5,11
49,-4.5,16.4,58400,2,0.006,2,9
50,-4.5,15.8,58400,2,0.006,2,9
51,-4.5,15.2,58400,2,0.01,3,9
52,-4.5,14.6,58400,10,0.002,2,5
53,-4.5,14,58400,10,0.002,2,9
54,-4.5,13.4,58400,10,0.002,3,5
55,-4.5,12.8,58400,10,0.01,4,5
56,-4.5,12.2,58400,50,0.004,2,5
57,-4.5,11.6,58400,50,0.004,3,9
58,-4.5,11,58400,50,0.006,3,9
59,-4.5,10.4,58400,50,0.006,4,3
60,-4.5,9.8,58400,50,0.01,1,5
61,-4.5,9.2,58400,100,0.004,2,11
62,-4.5,8.6,58400,100,0.004,5,9
63,-4.5,8,58400,100,0.006,4,5
64,-4.5,7.4,58400,100,0.008,2,5
65,-4.5,6.8,58400,100,0.008,2,11
66,-4.5,6.2,58400,200,0.002,1,5
67,-4.5,5.6,58400,200,0.002,3,5
68,-4.5,5,58400,200,0.002,5,11
69,-4.5,4.4,58400,200,0.004,1,7
70,-4.5,3.8,58400,200,0.004,4,9
71,-4.5,3.2,58400,200,0.01,2,3
72,-4.5,2.6,58400,200,0.01,5,3
73,-5.1,2.6,87300,2,0.002,5,5
74,-5.1,3.2,87300,2,0.002,5,11
75,-5.1,3.8,87300,2,0.006,1,5
76,-5.1,4.4,87300,2,0.006,3,3
77,-5.1,5,87300,10,0.002,2,7
78,-5.1,5.6,87300,10,0.008,1,7
79,-5.1,6.2,87300,10,0.01,2,7
80,-5.1,6.8,87300,50,0.002,4,3
81,-5.1,7.4,87300,50,0.002,4,5
82,-5.1,8,87300,50,0.004,2,7
83,-5.1,8.6,87300,50,0.004,3,3
84,-5.1,9.2,87300,50,0.004,5,9
85,-5.1,9.8,87300,50,0.006,1,11
86,-5.1,10.4,87300,50,0.01,1,5
87,-5.1,11,87300,50,0.01,4,5
88,-5.1,11.6,87300,100,0.008,1,11
89,-5.1,12.2,87300,100,0.008,3,11
90,-5.1,12.8,87300,200,0.004,2,3
91,-5.1,13.4,87300,200,0.004,3,9
92,-5.1,14,87300,200,0.006,1,7
93,-5.1,14.6,87300,200,0.008,2,5
94,-5.1,15.2,87300,200,0.008,4,3
95,-5.1,15.8,87300,200,0.01,4,7
96,-5.1,16.4,87300,200,0.01,5,7
97,-5.7,16.4,116200,2,0.002,4,3
98,-5.7,15.8,116200,2,0.004,2,3
99,-5.7,15.2,116200,2,0.006,1,5
100,-5.7,14.6,116200,2,0.006,1,7
101,-5.7,14,116200,2,0.006,4,7
102,-5.7,13.4,116200,2,0.008,3,9
103,-5.7,12.8,116200,2,0.008,5,11
104,-5.7,12.2,116200,10,0.002,4,7
105,-5.7,11.6,116200,10,0.002,5,3
106,-5.7,11,116200,10,0.004,1,5
107,-5.7,10.4,116200,10,0.008,1,7
108,-5.7,9.8,116200,10,0.008,3,7
109,-5.7,9.2,116200,10,0.01,1,7
110,-5.7,8.6,116200,50,0.004,4,9
111,-5.7,8,116200,50,0.006,3,5
112,-5.7,7.4,116200,50,0.01,2,11
113,-5.7,6.8,116200,100,0.002,2,11
114,-5.7,6.2,116200,100,0.002,4,9
115,-5.7,5.6,116200,100,0.002,5,5
116,-5.7,5,116200,100,0.008,4,5
117,-5.7,4.4,116200,100,0.01,1,9
118,-5.7,3.8,116200,200,0.002,1,3
119,-5.7,3.2,116200,200,0.004,3,9
120,-5.7,2.6,116200,200,0.006,5,3
