加工顺序,起点X,起点Y,终点X,终点Y,脉宽_fs,功率百分比
1,-7.5,0.7,-7.1,0.7,29400,15
2,-7.5,0.5,-7.1,0.5,29400,20
3,-7.5,0.3,-7.1,0.3,29400,25
4,-7.5,0.1,-7.1,0.1,29400,30
5,-7.5,-0.1,-7.1,-0.1,29400,35
6,-7.5,-0.3,-7.1,-0.3,29400,40
7,-7.5,-0.5,-7.1,-0.5,29400,45
8,-7.5,-0.7,-7.1,-0.7,29400,50
9,-7.5,-0.9,-7.1,-0.9,29400,55
10,-7.5,-1.1,-7.1,-1.1,29400,60
11,-7.5,-1.3,-7.1,-1.3,29400,65
12,-7.5,-1.5,-7.1,-1.5,29400,70
13,-7.5,-1.7,-7.1,-1.7,29400,75
14,-7.5,-1.9,-7.1,-1.9,29400,80
15,-7.5,-2.1,-7.1,-2.1,29400,85
16,-7.5,-2.3,-7.1,-2.3,29400,90
17,-7.5,-2.5,-7.1,-2.5,29400,95
18,-7.5,-2.7,-7.1,-2.7,29400,100
19,-7.5,-2.9,-7.1,-2.9,36140,15
20,-7.5,-3.1,-7.1,-3.1,36140,20
21,-7.5,-3.3,-7.1,-3.3,36140,25
22,-7.5,-3.5,-7.1,-3.5,36140,30
23,-7.5,-3.7,-7.1,-3.7,36140,35
24,-7.5,-3.9,-7.1,-3.9,36140,40
25,-7.5,-4.1,-7.1,-4.1,36140,45
26,-7.5,-4.3,-7.1,-4.3,36140,50
27,-7.5,-4.5,-7.1,-4.5,36140,55
28,-7.5,-4.7,-7.1,-4.7,36140,60
29,-7.5,-4.9,-7.1,-4.9,36140,65
30,-7.5,-5.1,-7.1,-5.1,36140,70
31,-7.5,-5.3,-7.1,-5.3,36140,75
32,-7.5,-5.5,-7.1,-5.5,36140,80
33,-7.5,-5.7,-7.1,-5.7,36140,85
34,-7.5,-5.9,-7.1,-5.9,36140,90
35,-7.5,-6.1,-7.1,-6.1,36140,95
36,-7.5,-6.3,-7.1,-6.3,36140,100
37,-7.5,-6.5,-7.1,-6.5,43800,15
38,-7.5,-6.7,-7.1,-6.7,43800,20
39,-7.5,-6.9,-7.1,-6.9,43800,25
40,-7.5,-7.1,-7.1,-7.1,43800,30
41,-7.5,-7.3,-7.1,-7.3,43800,35
42,-7.5,-7.5,-7.1,-7.5,43800,40
43,-7.5,-7.7,-7.1,-7.7,43800,45
44,-7.5,-7.9,-7.1,-7.9,43800,50
45,-7.5,-8.1,-7.1,-8.1,43800,55
46,-7.5,-8.3,-7.1,-8.3,43800,60
47,-7.5,-8.5,-7.1,-8.5,43800,65
48,-7.5,-8.7,-7.1,-8.7,43800,70
49,-7.5,-8.9,-7.1,-8.9,43800,75
50,-7.5,-9.1,-7.1,-9.1,43800,80
51,-7.5,-9.3,-7.1,-9.3,43800,85
52,-7.5,-9.5,-7.1,-9.5,43800,90
53,-7.5,-9.7,-7.1,-9.7,43800,95
54,-7.5,-9.9,-7.1,-9.9,43800,100
55,-7.5,-10.1,-7.1,-10.1,58400,15
56,-7.5,-10.3,-7.1,-10.3,58400,20
57,-7.5,-10.5,-7.1,-10.5,58400,25
58,-7.5,-10.7,-7.1,-10.7,58400,30
59,-7.5,-10.9,-7.1,-10.9,58400,35
60,-7.5,-11.1,-7.1,-11.1,58400,40
61,-7.5,-11.3,-7.1,-11.3,58400,45
62,-7.5,-11.5,-7.1,-11.5,58400,50
63,-7.5,-11.7,-7.1,-11.7,58400,55
64,-7.5,-11.9,-7.1,-11.9,58400,60
65,-7.5,-12.1,-7.1,-12.1,58400,65
66,-7.5,-12.3,-7.1,-12.3,58400,70
67,-7.5,-12.5,-7.1,-12.5,58400,75
68,-7.5,-12.7,-7.1,-12.7,58400,80
69,-7.5,-12.9,-7.1,-12.9,58400,85
70,-7.5,-13.1,-7.1,-13.1,58400,90
71,-7.5,-13.3,-7.1,-13.3,58400,95
72,-7.5,-13.5,-7.1,-13.5,58400,100
