加工顺序,中心X,中心Y,脉宽,频率,线间距,次数,速度
1,-4.1,-8,29400,5,0.01,5,20
2,-4.1,-8.5,29400,5,0.01,6,20
3,-4.1,-9,87300,10,0.01,5,20
4,-4.1,-9.5,87300,10,0.01,6,20
5,-4.1,-10,43800,40,0.006,5,25
6,-4.1,-10.5,43800,40,0.006,6,25
7,-4.1,-11,29400,20,0.004,5,25
8,-4.1,-11.5,29400,20,0.004,6,25
9,-4.1,-12,36140,20,0.006,5,15
10,-4.1,-12.5,36140,20,0.006,6,15
11,-4.1,-13,87300,5,0.008,5,10
12,-4.1,-13.5,87300,5,0.008,6,10
13,-4.1,-14,58400,10,0.008,5,5
14,-4.1,-14.5,58400,10,0.008,6,5
15,-4.1,-15,87300,20,0.002,5,15
16,-4.1,-15.5,87300,20,0.002,6,15
17,-4.1,-16,43800,2,0.002,5,10
18,-4.1,-16.5,43800,2,0.002,6,10
19,-4.1,-17,58400,2,0.002,5,5
20,-4.1,-17.5,58400,2,0.002,6,5
